"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"2","1","4","3","4","3","4","3","1","2","2","4","4","1","3","3","3","1","2","1","3","3","2","2","3","2","3","4","4","2","2","2","3","3","2","3","2","2","3","3","1","4","2","2","2","3","2","1","4","3","4086","2240","2776","1776","2224","2441","3919","18128","2247","8968","1592","2992","3185","3712","3408","3727","2664","3399","2519","2040","1887","3649","5216","1968","4721","6264","10632","3144","2616","2136","4447","3775","2792","2144","4008","24988","2096","2528","3441","2248","2768","4032","2055","6595","12847","10609","1368","1569","8400","1080","2018-05-23 17:33:58","1280","1024","3","225","7","63","NZ","-41.0","174.0"
"1","3","2","5","4","4","1","3","2","5","5","2","5","1","5","5","5","5","4","5","1","5","4","5","1","5","1","5","5","2","2","4","2","3","5","5","4","4","3","4","1","5","5","5","3","2","2","1","5","4","7802","4038","5595","1571","6478","6829","18642","2130","5583","2069","14479","3888","3265","4189","3239","1969","2523","2566","2792","2579","4086","4149","4049","1782","4187","1472","4061","3801","2417","3203","5906","10147","4038","5147","3244","3229","3677","2417","2231","9409","4884","8259","1981","4123","4236","10932","4623","3526","3140","2729","2018-05-23 17:34:04","1366","768","17","236","17","67","AU","-41.1603","146.1824"
"2","2","2","4","2","1","1","4","1","4","4","3","4","2","3","4","5","5","3","2","2","4","3","1","4","4","4","2","1","3","4","4","5","2","2","4","4","2","3","2","5","1","5","1","3","2","3","4","4","3","20036","6564","3008","2819","2929","3042","5226","4114","3663","6529","5373","4435","4481","2755","3483","2703","3905","7702","9219","2532","2526","6218","4971","3958","4436","2402","5292","673","5587","3514","9155","8736","4286","4203","7835","10620","4266","8963","4511","8906","711","6356","2387","5449","3775","6319","3763","4807","4930","2590","2018-05-23 17:34:37","360","640","5","259","14","1","DE","51.0","9.0"
"3","5","3","5","1","3","3","5","1","5","3","3","3","1","4","1","4","3","3","2","5","4","3","5","1","5","2","5","5","4","2","3","2","3","3","2","5","3","3","5","5","1","5","3","5","1","5","4","5","5","2693","1335","1952","1369","1464","2368","5032","1696","2056","1592","1457","2687","2256","2120","1808","2833","1160","1792","2311","1465","3376","1417","1704","3519","4305","1712","3920","4088","1072","4392","1783","2280","1848","840","1343","4494","1728","1936","1056","1143","1456","1928","1904","2800","1592","2687","1976","1728","5049","856","2018-05-23 17:34:38","1280","1024","4","112","5","63","NZ","-41.0","174.0"
"3","4","2","4","3","3","2","4","2","4","4","3","4","3","2","4","4","3","5","3","5","2","4","2","5","3","4","3","1","3","4","4","4","3","2","4","4","3","3","3","4","2","4","3","5","2","4","4","4","4","5722","2576","3218","715","1744","2341","4390","2784","1858","2280","3314","2064","4540","763","3271","2182","2786","2128","2258","890","2631","1963","2459","2254","3153","623","2122","3371","6464","2907","562","3700","3009","3096","4557","6725","1090","5611","5563","2393","1584","3010","3572","1735","4141","2168","1786","2763","3576","884","2018-05-23 17:34:47","412","846","6","143","4","1","US","38.0","-97.0"
"1","4","2","5","3","2","3","5","1","5","5","4","5","1","5","4","3","2","3","5","1","5","1","5","1","5","1","5","5","3","2","1","5","2","5","1","5","1","4","5","5","2","3","3","4","1","5","0","5","5","4764","1283","4983","1766","5199","2100","2434","6417","4817","1552","6715","2268","1202","5800","4200","2732","2367","2733","2183","1451","2382","4550","2886","8634","1166","1750","2134","1684","1619","2448","2051","2099","3265","8068","2366","3252","1916","2317","1848","2050","1453","4884","1282","2919","1551","1767","1533","0","1884","1033","2018-05-23 17:35:51","1440","900","10","146","6","1","US","29.2617","-82.1562"
"4","1","5","4","5","1","5","3","5","1","1","1","5","3","5","5","1","1","5","3","1","5","1","4","1","3","1","5","5","5","4","3","5","1","3","3","5","1","3","5","5","2","5","3","5","1","5","1","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-05-23 17:35:59","360","640","20","1483","12","1","AR","-34.6033","-58.3816"
"1","3","3","3","3","3","3","4","3","4","1","1","5","1","1","1","3","3","5","5","1","5","4","4","3","5","3","3","4","5","1","5","2","4","1","1","5","3","3","1","3","3","2","3","3","5","3","4","3","3","9843","6397","3445","6701","3651","8159","3197","3600","2779","2685","2433","6074","4516","4388","1823","1373","2217","4480","2191","2348","85203","5412","11111","3111","4866","4201","2722","3215","2662","6410","5415","4367","6249","5666","4285","4331","2591","1971","2912","6373","7069","5716","16846","2423","2074","1886","2554","2074","3172","1607","2018-05-23 17:36:51","360","640","21","303","10","1","US","38.0","-97.0"
"4","2","4","1","3","2","4","2","2","5","5","2","4","2","4","4","4","3","4","1","1","5","2","5","1","5","1","5","1","4","3","5","3","3","3","5","3","1","1","1","3","2","5","1","4","1","4","1","5","4","5886","2146","3881","1134","2230","1280","1902","4070","2896","2026","4970","3365","1510","2094","2652","2522","1266","3138","3566","2281","2220","1614","1306","1619","2166","2192","2202","3180","4694","2146","2807","4138","7487","2618","2378","2022","3290","3524","1419","5942","1652","5911","3597","3238","2384","2247","2466","3032","2454","3800","2018-05-23 17:37:20","1280","800","8","145","11","1","US","43.3898","-71.0651"
"3","3","4","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","2","4","1","0","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","13678","2377","3270","0","0","0","0","0","0","0","2812","2703","0","0","0","0","0","0","0","0","5684","2266","2670","0","0","0","0","0","0","0","3996","4173","0","0","0","0","0","0","0","0","2592","4207","0","0","0","0","0","0","0","0","2018-05-23 17:37:57","1366","768","2","58","13","1","BR","-23.5477","-46.6358"
