"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"2","3","3","4","3","2","2","5","2","5","4","3","5","2","3","4","5","5","4","4","2","5","4","5","2","4","2","5","5","3","4","4","5","3","2","2","4","3","4","3","3","3","5","3","3","2","4","3","5","3","3720","3586","3634","1879","3810","2304","6335","2612","1570","1823","2156","3070","1804","2236","1683","3834","1963","1110","2504","1198","1441","5983","1211","4130","3462","1491","1454","3025","1702","1851","2095","917","957","1058","918","4419","1066","1915","2020","4608","1955","1450","905","1959","1810","1426","3802","2453","882","834","2016-08-20 20:06:08","0","0","3","117","12","1","CA","43.6425","-79.3872"
"3","2","3","4","3","2","2","5","3","5","5","1","5","1","3","5","0","5","5","5","1","3","1","5","1","5","2","5","5","5","4","5","4","5","2","5","5","2","5","4","4","2","5","2","4","1","5","4","5","5","2562","2078","1781","1484","2296","1500","4969","843","1406","1750","1172","1282","1422","1204","2500","1797","0","1203","1031","1094","1813","2328","2609","1188","2594","1703","1515","907","1203","579","2953","1609","2172","812","1360","1016","1032","3109","844","2062","1453","2453","875","1750","1093","875","1578","1188","859","625","2016-08-20 20:10:16","1280","992","5","81","6","1","CA","49.1476","-123.1897"
"1","2","3","5","4","2","2","5","3","4","5","2","4","3","5","4","5","5","5","5","3","4","5","3","2","5","2","4","3","3","3","3","4","4","3","2","3","2","3","4","3","3","5","3","3","1","5","3","5","5","4663","4094","3485","3803","5699","2901","4928","6598","3942","4874","2700","3023","2436","2870","1772","3186","3277","2565","2170","1484","3984","3113","3396","2333","5366","3314","4233","2808","4024","4310","2447","3117","6215","3376","7526","8173","4638","4303","1687","4875","2490","4565","2648","3385","2836","4926","3201","2186","3189","1744","2016-08-20 20:11:39","1366","768","19","188","16","1","MY","3.1466","101.6673"
"3","5","1","3","5","2","4","2","2","5","1","5","5","3","2","2","2","1","4","2","5","5","1","4","1","4","2","5","5","5","5","1","5","1","3","2","5","1","5","2","4","5","5","5","3","4","4","5","5","4","5357","3358","5736","5595","6965","4047","8683","7818","8888","3069","1956","4058","2158","7109","7177","1545","71941","4497","4751","5183","13907","3012","2058","5233","3709","4824","3498","6903","12790","4989","10297","9377","5431","4693","16788","8713","4606","29855","7290","7748","9880","10338","3274","4481","17261","5353","7774","3012","5777","4118","2016-08-20 20:12:49","1366","768","9","408","27","1","FR","48.86","2.35"
"3","3","4","5","3","3","3","5","3","5","4","5","5","3","1","3","4","4","3","3","2","3","5","4","1","4","2","4","4","4","2","5","5","5","1","5","4","2","2","5","5","3","5","2","2","1","3","4","4","4","3996","2427","2452","1100","2206","2683","4125","5041","2323","1208","3393","1992","1250","2060","3410","5994","1458","2567","1894","1700","2724","1908","2382","1767","2600","1599","3991","3867","2401","1908","3333","2648","1499","1800","1850","1674","2499","2995","3515","1982","4657","1541","1167","3650","1983","2574","1800","1716","2191","1409","2016-08-20 20:14:19","1366","768","9","125","12","1","US","39.9193","-75.4916"
"2","4","4","3","3","3","3","3","4","4","2","5","2","3","2","2","5","4","1","3","5","4","2","5","1","5","2","2","5","4","4","3","5","3","3","3","4","2","4","4","3","1","4","1","4","2","4","3","3","3","9885","2440","2815","19169","2215","3040","2752","3049","3376","4008","4127","2993","1991","42720","4799","2071","3399","2216","2584","13336","7144","2616","3295","2864","2673","2863","4248","7352","2784","15383","3288","6624","3817","3936","5240","5705","4345","11191","3001","11121","4616","23097","3000","4104","2969","2720","2744","3320","5616","4327","2016-08-20 20:18:29","1920","1080","10","300","22","1","GB","51.5","-0.13"
"1","3","3","4","2","3","2","3","3","4","5","2","5","2","5","5","4","4","5","4","4","4","3","4","4","4","4","4","4","3","4","4","4","3","4","4","3","3","4","4","3","3","4","3","4","2","4","3","5","4","10191","2766","5181","3765","4579","4308","6776","5804","4781","6034","3085","3528","2919","8282","4552","4882","4854","4362","5751","3313","6042","4240","3862","3299","5895","30250","5420","6895","4041","4560","3606","4424","3508","3546","3989","6047","3364","4192","9255","4854","4104","4015","5291","2425","4600","6066","6495","5495","5758","3129","2016-08-20 20:20:03","412","732","6","270","20","3","US","38.0","-97.0"
"1","3","2","4","3","2","2","5","1","5","1","4","2","4","1","1","2","1","1","1","2","2","1","2","1","3","2","4","1","4","3","2","3","1","4","1","5","2","5","4","3","1","4","1","3","1","4","1","5","4","7404","3815","4069","3088","4841","3800","7077","4336","2255","4337","4822","2591","8739","4510","2125","2744","3485","3313","2019","1917","13018","5310","2356","9728","3330","3746","5866","3038","3026","6008","12695","4018","1584","6407","4960","4605","2478","4254","2462","5005","3145","8071","10699","4069","3798","7122","4003","1912","3500","4129","2016-08-20 20:20:49","360","640","5","238","15","1","US","40.8779","-74.5938"
"3","1","5","2","3","2","3","3","3","3","3","5","3","4","1","1","2","1","1","1","5","5","4","5","3","4","2","4","4","3","2","5","4","3","2","4","3","3","2","2","4","4","4","2","3","2","4","3","3","3","3660","4246","2614","13130","2618","2093","2910","2759","1740","2571","3103","2874","2790","4174","3092","4567","2787","2667","3797","2675","3599","2341","3846","2839","5097","4583","2939","2843","2370","6722","4290","2503","3957","4864","4599","2346","3637","4209","3016","3753","3949","4583","4375","3360","2357","3144","2734","4599","3328","2382","2016-08-20 20:21:17","1440","900","46","182","12","2","US","25.736","-80.3111"
"1","3","1","5","1","5","1","5","1","5","5","1","3","3","5","5","5","5","5","3","3","1","5","3","3","3","5","3","1","1","1","5","3","5","1","5","3","5","3","3","3","3","5","1","3","3","1","3","5","5","5069","3089","2206","5489","1849","2742","3488","3944","4402","2031","2226","2617","2280","43527","1424","1650","3295","17681","903","1575","5783","1584","1943","9293","3789","2735","3970","3760","3607","5113","5784","4695","4674","4391","12407","6391","1749","2854","3144","6550","4221","3424","4905","6754","2074","3359","3290","1775","8378","13623","2016-08-20 20:23:39","1366","768","3","261","10","1","BR","-25.44","-49.1858"
