"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"4","2","4","2","4","3","3","3","3","3","4","3","3","2","2","2","3","2","3","2","2","0","2","4","3","4","2","3","4","4","3","3","3","2","2","3","0","2","3","3","3","4","2","4","3","4","3","2","3","3","3293","2468","1717","3177","1949","2405","4661","2134","2179","3262","3700","6820","9252","2648","2880","1952","3901","3100","2637","1788","2947","0","1300","2783","3600","2681","2470","2217","1900","2737","3014","5197","9965","2453","7184","2714","0","1801","3218","3580","1700","749","2336","2967","2900","2701","3981","2485","4330","2951","2017-03-13 09:31:59","1024","768","9","156","11","11","US","39.038","-95.7278"
"5","3","3","3","3","5","4","5","4","3","3","3","3","4","3","4","3","5","4","5","5","3","4","5","3","4","4","4","5","5","4","4","4","4","3","5","3","4","5","5","5","4","5","5","4","4","3","4","4","4","3164","667","766","1949","861","933","765","733","2083","933","648","1048","1302","866","1017","27735","816","717","817","666","21854","5487","932","1266","700","2114","751","717","2950","2016","16479","716","817","57501","849","2549","1798","916","849","1401","4236","785","1650","873","1019","1502","734","1083","1084","2450","2017-03-13 09:34:01","320","568","6","191","15","9","US","35.2375","-77.6151"
"5","1","3","5","5","1","2","1","1","4","3","1","4","3","2","2","4","1","4","2","3","3","3","4","5","1","4","3","3","3","2","5","3","5","1","5","3","4","1","3","3","3","4","3","4","1","3","4","4","5","5263","29792","3993","3173","1467","1541","8652","3178","4755","1889","3862","6989","3948","3571","2122","5284","2529","4430","1539","1662","1297","6095","2605","2947","2664","3074","5762","4280","3750","2263","2651","2198","2517","26450","3538","1756","4091","16771","2979","29886","4305","23793","2291","7547","2663","3873","1701","6200","10714","10024","2017-03-13 09:36:44","768","1024","3","303","10","9","US","35.2375","-77.6151"
"5","1","5","1","5","1","5","1","5","1","2","1","4","2","2","2","4","4","2","2","1","5","1","5","1","4","1","4","5","5","5","4","2","4","4","4","2","2","4","4","5","1","5","2","5","1","5","5","4","5","4330","1713","1480","4744","1609","1600","3424","1416","3872","2416","2912","4224","3097","6664","3824","1848","2736","1737","6344","2960","3423","4960","1544","1480","1663","3392","1688","1672","1832","1529","5112","6824","3720","3200","7009","6489","2256","2664","2656","4808","2144","3168","1776","3088","2568","2384","2688","2032","2864","944","2017-03-13 09:39:37","1920","1200","8","155","11","1","GL","72.0","-40.0"
"1","4","1","4","2","1","1","4","1","5","4","3","4","2","3","4","4","4","4","4","3","3","2","4","5","4","3","3","4","4","4","1","5","2","4","1","2","3","3","4","4","1","5","1","3","1","4","2","5","4","3196","1007","3796","1559","4105","5276","2845","1837","2550","1691","1491","4116","1736","3515","8004","2222","3451","2138","1684","2813","4628","1978","8144","1174","5806","3043","6106","24569","3794","1329","5179","6892","5180","2196","2554","3954","2589","2589","33451","7623","3576","3594","1683","2535","4717","2322","2065","5960","2871","4920","2017-03-13 09:48:06","1366","768","830","227","12","1","VE","10.0739","-69.3228"
"5","2","4","3","5","1","5","3","3","1","4","1","4","2","2","5","5","5","5","4","3","5","3","3","3","4","2","4","4","4","2","4","3","4","2","2","3","2","3","3","4","2","5","2","4","1","5","4","4","4","13189","4083","3780","5876","3248","3234","3217","3992","2537","3610","2586","4275","1201","20095","4017","2385","1561","1929","1600","2128","2539","15082","3258","2938","4521","2848","3241","5378","2296","8169","2345","9031","3947","4931","3609","5225","2928","16371","1769","3649","3514","5539","3394","4706","3384","4320","2120","1904","2864","2825","2017-03-13 09:48:09","1920","1080","58","228","13","1","US","38.0","-97.0"
"1","3","4","4","4","1","0","1","1","3","3","2","4","2","3","1","2","2","1","1","5","5","1","5","2","5","2","5","5","1","3","5","4","5","3","1","5","3","5","5","4","3","4","3","4","3","5","5","5","4","5996","7084","3374","1859","3919","8842","0","6363","5383","6460","5386","3052","2674","5226","3045","3992","3028","2646","2091","2002","4464","2700","2742","3000","5315","4558","10307","4264","2422","6664","5361","2736","3335","1533","9870","5543","2160","3920","1860","4931","4981","3833","2912","7354","2519","4064","7275","4198","4108","2884","2017-03-13 09:48:24","1440","900","63","374","5","1","VE","8.0","-66.0"
"3","2","4","2","4","2","3","2","5","3","4","3","3","4","2","2","2","1","2","1","1","5","1","4","1","5","1","4","5","3","3","3","4","2","2","3","2","2","3","4","1","1","5","1","4","1","4","1","4","4","2832","2236","1946","3221","1950","2607","4937","5245","3078","2164","2134","2581","2183","2448","3617","1563","1980","4377","4266","4424","4606","2000","1933","4097","4430","1947","2648","3138","2485","9139","2185","2888","2466","2900","2078","3467","3050","30012","2279","4784","2349","2950","1763","3117","2617","3119","3100","1631","2816","2447","2017-03-13 09:49:53","768","1024","4","180","10","166","US","44.0744","-121.2574"
"3","2","4","3","4","1","4","4","2","2","4","4","4","2","3","4","2","2","2","2","1","4","1","5","1","5","4","4","5","4","2","4","4","2","2","4","4","2","3","4","5","2","4","1","3","1","4","4","4","4","10471","2434","1319","2072","1922","1707","3074","1737","1304","1905","70724893","1088","2592","2944","1872","2006","7687","1622","1255","2492","2808","1548","1789","3475","2623","1789","2523","2091","1520","1772","1539","2245","2723","1053","4194","3309","14606","2722","3375","3325","749","3576","667","2170","2540","1921","870","3024","2538","4543","2017-03-13 09:50:27","1440","900","4","70861","9","1","NL","50.9983","5.8694"
"5","2","5","2","5","3","5","3","3","3","3","4","3","3","3","3","3","1","2","1","1","5","1","5","1","5","1","5","5","5","4","3","5","1","4","3","5","1","5","5","4","2","5","3","4","1","4","3","3","5","6633","2988","1953","3082","1388","3224","4696","1992","2494","1504","1843","2682","2808","1812","2838","1246","1144","2915","2862","2062","1040","2846","1584","2556","3111","1160","3412","1992","1144","2760","2439","2180","2924","2532","2605","36262","2580","2650","2078","2682","1034","3151","1662","1066","948","2290","2776","1467","1248","1254","2017-03-13 09:51:05","1600","900","6","155","12","1","US","40.7796","-74.0238"
"3","3","4","3","3","2","2","3","4","3","4","4","3","2","3","2","4","3","4","2","3","3","3","2","4","2","4","3","3","2","2","2","5","2","2","2","5","2","5","2","2","2","2","2","4","2","4","2","4","3","6190","3248","3542","3157","2523","4244","4937","2523","3338","2772","3464","2895","2879","2033","3241","4631","15597","2462","2844","1310","3204","4212","2267","3017","4790","2729","5098","2646","2639","3048","3997","4312","2843","2601","4836","4281","10090","3277","2903","5699","3184","4527","3115","3722","2933","1269","2082","1883","3878","1838","2017-03-13 09:52:21","768","1024","4","186","17","166","US","44.0744","-121.2574"
"1","3","4","4","2","3","2","4","3","4","2","5","2","4","2","2","2","1","4","1","3","3","2","2","2","4","4","3","2","2","4","2","5","2","3","1","5","2","5","4","3","1","3","1","5","1","4","2","4","5","3821","1791","2819","3027","2362","3996","3453","1861","1601","3259","1966","3718","3393","5691","3631","1247","4125","1890","1888","2210","4447","2797","4897","2709","4677","2303","2453","2963","3166","3086","2435","3235","2342","3361","2720","4647","2976","2186","1890","2027","2868","4608","2315","5832","2274","2741","2245","4193","2001","1806","2017-03-13 09:53:25","1366","768","6","151","10","39","US","38.0","-97.0"
"1","5","4","4","2","5","1","3","1","5","5","2","5","4","5","5","5","5","5","5","4","4","1","4","4","5","4","4","5","5","2","4","4","5","2","4","2","3","5","3","2","5","4","5","2","5","4","1","4","2","16484","3048","2546","2860","4017","2391","4937","4329","2454","4062","3531","2656","4282","3125","2719","1985","4125","2296","2345","12267","5373","4594","3594","5220","7078","8548","5298","3109","2547","3328","3406","3531","3672","4687","2937","19547","4015","3579","7562","7704","3579","12189","2296","4094","3750","2219","3844","3125","2578","3093","2017-03-13 09:54:31","1366","768","196","266","18","1","GB","51.5","-0.13"
"3","1","5","3","3","2","5","5","5","4","3","3","5","3","5","2","1","5","2","5","5","5","1","5","5","5","1","5","5","5","5","0","5","5","3","5","3","3","5","3","1","3","1","1","5","5","5","2","5","4","9551","12257","3276","13666","5912","5901","4613","4321","11811","12271","6835","4905","3815","7960","8789","5706","4993","7802","5831","6399","4901","2731","8095","2175","12252","4488","5384","4681","3559","4819","3315","0","8719","5833","11758","5619","5111","4974","4662","23817","5538","13068","7635","10594","2127","4653","5705","4545","3043","4416","2017-03-13 09:54:48","1366","768","3","342","29","2","US","30.4507","-91.1546"
"4","4","1","2","2","2","2","5","3","5","5","1","5","1","2","4","4","4","5","4","2","2","3","5","2","4","3","4","5","3","4","2","5","3","3","3","4","2","4","4","2","1","5","1","4","1","2","1","4","4","3831","7575","4503","3942","1679","4710","7059","2669","6489","4335","2527","4278","1026","2828","6137","2360","7133","3012","784","1403","4867","3191","893","2246","4351","6156","8489","4479","1759","4990","7634","2926","4778","2874","1333","3764","579","2176","1577","1494","3212","2395","1146","6341","4306","1942","2970","2719","2034","577","2017-03-13 09:54:58","1280","800","7","188","7","1","US","42.0987","-75.918"
