"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"3","3","1","5","1","5","1","5","1","5","5","1","5","2","3","5","4","5","5","4","5","3","2","4","1","5","3","5","4","4","2","4","4","3","2","5","3","3","1","3","4","3","5","2","4","1","3","4","4","5","4079","2712","2545","1770","2780","1937","2104","2079","1592","1557","1616","2090","1663","3054","2426","1248","3660","3580","1569","5634","2502","4353","2898","2995","2068","1664","3089","1865","3209","5454","4785","3465","2769","1651","5181","6465","1795","28855","2294","43379","2934","5816","1224","2341","1995","2150","2222","2342","2757","1343","2016-07-30 22:54:41","1366","768","16","210","17","1","US","42.0944","-91.8693"
"1","5","1","5","1","1","5","5","5","5","5","1","5","5","1","1","5","5","1","5","5","5","1","5","1","5","5","5","5","5","1","5","5","5","1","5","1","5","1","1","5","5","5","1","5","1","5","5","5","5","6946","3094","3668","3417","3700","5018","3564","3067","2406","2745","2116","3144","3248","3460","4113","2328","8020","1801","2119","2101","3499","1984","3033","3001","6346","2091","4779","2749","2315","3320","2653","2904","1782","2643","4159","2208","5209","4116","3613","3799","2203","3921","5170","2958","2822","2134","4386","1997","2318","719","2016-07-30 22:55:30","320","570","18","168","10","11","US","37.4192","-122.0574"
"2","1","5","2","5","1","2","2","4","2","4","4","4","3","2","2","2","2","2","3","2","5","1","5","1","4","2","4","5","5","2","4","5","2","1","4","2","2","2","2","2","1","4","2","5","2","5","2","4","5","8315","2320","3000","2616","1904","7304","7225","7376","3408","3032","1400","7992","6072","16607","1944","3800","4264","4000","3208","18239","15752","2560","2336","2752","6880","2247","3264","11024","2695","1912","4664","7528","1928","7664","7984","4040","2240","15865","2520","7401","5760","4440","8600","8896","2193","7536","5840","6511","2744","2920","2016-07-30 22:57:00","1680","1050","3","284","18","1","SE","55.6059","13.0007"
"3","1","4","2","4","1","5","1","4","3","3","5","5","1","1","2","4","5","5","1","1","5","2","4","2","5","1","4","4","4","4","1","4","2","4","1","5","1","4","5","4","1","5","1","4","1","5","3","2","3","5522","2430","2225","2346","48165","3492","2151","68307","2490","2492","2417","3068","2076","1987","3045","2310","1750","5892","1853","1031","2850","3223","2097","2243","5283","2315","3240","2612","4547","32107","2873","2923","2634","2456","3387","3877","2535","3091","1898","2826","9976","2737","11702","2981","2873","2242","1822","2545","3246","2483","2016-07-30 22:57:56","768","1024","4","299","11","1","AU","-37.8167","144.9"
"2","2","2","4","4","2","3","4","4","4","4","1","4","1","2","4","4","4","4","4","2","5","4","4","4","4","1","3","4","0","2","2","5","2","2","2","4","4","4","3","4","3","5","1","4","1","3","4","4","5","10624","2191","1984","3591","4670","2376","3503","508919","2221","5503","864","2327","840","4831","4328","2983","975","1334","1015","1567","8018","1800","1319","1098","8820","1528","6455","5739","1352","0","6948","2705","1408","2598","1913","33267","3187","927","1971","4821","1080","15524","952","3224","1359","1646","3004","2695","975","1663","2016-07-30 22:59:29","1680","1050","6","696","4","1","US","40.1493","-74.5551"
"1","2","1","4","2","4","1","4","4","5","4","3","4","5","5","5","5","5","5","5","2","4","5","2","4","1","4","2","3","1","4","4","4","5","1","5","2","3","1","4","5","1","5","1","5","1","5","5","5","5","2470","5953","5405","3586","2603","1333","2512","4686","1553","2524","2384","1394","1933","1563","977","1485","1892","1159","1733","965","6753","7020","774","3754","2052","2149","3136","2004","2913","2197","9507","3691","1811","1412","1622","1345","1884","1119","4205","1183","631","1879","2528","3368","919","4171","997","1431","2311","744","2016-07-30 23:01:03","320","570","11","129","9","1","FR","48.86","2.35"
"4","1","5","1","5","1","5","2","5","2","3","4","5","2","4","4","5","5","4","4","1","5","1","5","1","4","1","5","5","5","5","2","4","2","3","1","4","2","3","3","3","1","4","2","4","2","5","4","5","5","6191","2001","1750","2932","4884","2551","3250","5000","2902","3083","7467","6632","2150","1420","3651","3000","3200","2166","1718","3534","3017","1683","3132","1651","1183","4083","2401","2217","1834","2751","2234","1717","3285","1867","2050","4568","2083","2451","3217","6051","6501","5185","2553","4230","3300","3767","1618","1900","2181","1833","2016-07-30 23:02:27","1440","900","3","157","11","1","AU","-37.7853","144.9498"
"3","3","3","4","4","2","3","4","2","3","4","2","4","2","4","2","3","3","4","4","2","4","2","4","3","4","2","3","4","3","4","4","4","4","2","2","4","3","3","4","4","3","4","3","4","3","4","4","3","4","12834","1650","1633","5899","3029","2952","2718","2871","5182","2568","2818","2033","1684","1083","2134","4700","2051","1184","4117","3115","3781","1684","1850","768","4051","6614","2033","1979","732","1731","1534","2533","2650","4166","2950","8400","1733","1880","3334","3520","1216","2451","2082","2471","3282","1050","4002","3034","2400","331","2016-07-30 23:02:33","320","568","8","148","34","1","US","39.7589","-84.1916"
"3","3","2","3","2","2","2","4","2","5","5","2","5","4","2","4","4","2","2","4","2","3","4","4","2","2","2","4","4","2","3","4","3","4","1","4","4","4","2","2","5","2","5","1","2","1","3","4","5","4","771256","25526","1712","2194","2538","3672","5428","2086","3258","2398","1430","2985","1922","4594","5445","6320","1726","18288","1656","1141","2814","4164","2157","2368","3053","2726","2696","2094","2234","4116","4648","3164","3405","4398","2836","3078","3024","34744","2470","15282","2484","3413","1086","3806","3430","1564","2188","4898","4094","4633","2016-07-30 23:04:29","1366","768","43","1011","26","1","AU","-31.9428","115.8439"
"1","4","4","4","2","3","1","4","2","5","5","3","5","3","2","3","2","2","3","3","1","5","1","5","2","5","2","4","4","3","4","3","5","1","1","3","4","3","3","4","4","1","5","1","4","1","4","3","5","5","4429","3142","7221","1834","3180","4976","5418","3334","3894","2112","1378","3174","1993","4914","3667","3298","4492","2232","3366","1548","5416","2924","3173","2245","5395","1392","3281","3308","2603","5694","5497","5081","1865","2434","2082","5067","3531","2424","3225","5110","1690","6954","2388","2687","2314","3342","2478","3873","2880","1645","2016-07-30 23:05:12","1368","912","13","173","12","1","SE","59.3333","18.05"
