"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"5","2","4","2","2","2","4","2","4","4","2","5","1","5","5","1","2","1","1","1","1","3","1","4","2","4","2","4","4","4","4","5","4","2","1","3","5","2","1","4","4","2","5","2","4","1","5","2","2","4","3525","1878","1688","1364","1560","1165","4321","4014","3938","3909","3347","1823","4809","2374","2276","2690","6149","1242","1322","1570","2851","8266","1759","7242","3507","3029","6180","1987","991","2004","3558","2622","3160","2137","1401","3343","8593","4441","3450","4068","1820","3199","3624","6488","2550","1245","1591","2995","3264","1928","2018-01-20 17:42:06","1366","768","39","160","9","1","US","37.7014","-97.4405"
"1","5","1","5","1","5","1","5","1","5","3","3","5","2","4","4","4","2","4","4","5","5","1","5","1","5","1","5","5","4","3","2","4","3","2","4","5","2","5","3","4","5","4","2","3","1","3","2","4","3","1014","1883","2808","2172","3958","2656","6527","2391","6396","2432","6157","12485","2862","23989","6368","2918","2560","4374","2492","5851","10408","4041","2311","1617","6190","1915","4450","2193","2627","4753","9482","6292","2340","4980","2445","4933","2574","17022","4349","7490","3859","3449","3666","3892","2384","3975","3869","5855","3695","8335","2018-01-20 17:42:14","412","846","105","250","17","1","DE","50.8667","12.75"
"4","1","4","2","4","1","4","2","5","2","4","4","4","2","3","4","3","3","3","3","2","4","4","4","2","3","2","3","5","3","5","1","5","3","2","1","3","2","4","5","5","1","5","1","5","1","5","5","5","5","942954","2368","2233","1264","4648","2280","3072","3688","2808","1576","1664","2400","1848","2512","10776","2384","2744","3664","2008","133024","3647","1448","1544","3615","2032","3200","3424","3600","3288","2976","2825","2520","4072","2344","2792","7144","1248","171984","1560","7192","1320","3559","1656","2384","3816","13800","1712","1728","2288","3560","2018-01-20 17:44:41","1920","1080","10","1447","6","1","DE","51.0","9.0"
"4","1","5","1","4","1","3","2","5","2","2","5","4","5","2","1","1","1","2","1","2","5","3","4","2","5","1","4","3","4","3","4","5","4","1","4","2","2","2","4","4","2","5","1","4","1","5","4","5","5","1474116","4504","2673","6384","2632","3073","31136","3968","4800","4720","4057","3264","14424","10753","6160","3224","2360","2784","4008","1592","5879","2176","29480","3344","3232","2440","2686","4976","5648","11775","18016","18704","5055","2783","14080","4831","2937","10120","5888","4305","3648","20744","12416","3808","3079","4538","3128","2112","4400","1600","2018-01-20 17:45:54","1920","1080","3","1811","4","1","DE","51.529","7.4802"
"1","1","3","5","1","3","1","5","1","5","3","2","4","3","3","3","4","4","3","3","3","3","3","1","4","3","2","3","2","2","2","1","4","3","4","1","5","3","4","3","1","3","4","3","2","2","4","1","4","2","9519","2146","45165","4855","2485","3083","3965","6042","2742","3171","4608","6569","2111","6017","2168","5200","6471","9225","2837","2364","5816","4974","4187","3895","6817","2042","3473","3196","841","13044","4482","3831","1939","2554","5717","6386","2530","3183","9050","838","2677","5683","2386","3997","1824","2599","5407","1011","3724","2727","2018-01-20 17:46:04","414","736","10","257","15","1","US","38.0","-97.0"
"1","3","2","5","2","4","2","2","2","5","5","2","5","1","4","5","4","4","5","5","1","4","2","5","1","5","1","4","5","4","2","5","4","5","1","5","2","2","2","2","3","4","2","1","2","3","3","3","5","2","4290","2750","1302","1751","3199","1501","1634","1565","2284","1084","7817","1483","1351","1216","1866","1085","2666","4053","2218","1217","1770","2050","1382","1367","2634","1300","2266","2089","1801","1916","3547","5218","2134","1550","1350","1803","1651","1644","4350","11583","1384","2033","1866","23570","3451","2362","1718","1666","1282","885","2018-01-20 17:46:17","1440","900","3","142","7","1","US","42.3451","-71.0993"
"1","3","2","4","4","2","2","5","1","4","4","5","3","4","1","3","4","3","4","2","4","3","5","3","3","4","4","4","3","3","2","5","3","4","1","4","4","3","3","3","3","3","4","3","4","3","4","2","5","4","9604","5333","5421","6451","2064","3016","4848","2460","5178","2551","4638","3192","6179","3571","8749","3158","1835","2303","1936","1851","9250","4068","8414","4607","3210","4646","3067","3691","3979","2769","3708","3739","2015","2102","3658","5994","5719","6411","4414","15604","2522","5593","4536","2857","4502","3900","2995","2780","3431","2074","2018-01-20 17:50:14","1280","800","3","222","13","9","US","26.5529","-81.9486"
"1","5","3","4","2","3","1","5","1","5","2","3","3","1","3","2","2","2","3","5","1","3","2","4","1","4","3","4","4","3","3","4","4","3","1","4","3","2","2","5","3","1","4","1","5","1","4","4","5","5","2919","4214","2565","7721","2697","4214","3234","3498","4105","1579","2845","5202","3989","3687","4890","1975","1858","1601","1751","3996","4827","3095","2278","2346","5107","4812","2728","2131","4736","2814","2403","4089","2044","3516","2209","1236","7750","4781","3992","3693","5372","2721","2535","2913","6274","4097","4922","3125","5154","2076","2018-01-20 17:55:29","1164","931","279","179","6","1","US","38.0","-97.0"
"1","4","3","4","0","4","2","4","2","4","3","3","4","4","2","2","2","2","2","2","3","3","4","4","3","3","3","4","3","3","4","2","4","2","3","2","4","2","4","4","4","2","2","2","4","4","4","2","3","3","6719","1055","3055","2145","0","1579","2739","1120","3711","4307","1863","2022","1449","5170","2154","1019","1587","2838","3902","2806","6475","1631","1767","4686","5788","2987","1887","3532","3437","13492","1016","2001","2141","3112","510","572","2045","7170","2305","2202","2186","2948","14346","5862","2131","2366","2153","362","4211","3674","2018-01-20 17:58:09","1920","1080","2","162","8","1","NZ","-39.6462","176.8502"
"2","4","2","4","3","2","1","5","1","5","1","5","2","5","1","1","1","1","1","1","3","4","1","2","4","2","3","2","1","3","1","4","5","4","1","5","2","3","2","4","5","1","5","1","4","1","5","4","5","5","13086","2634","2446","2303","5237","3798","2299","2693","2106","2222","2117","2427","3258","5142","5260","6507","2116","1640","3959","1313","11684","3453","2593","2156","7165","2596","4158","4341","1368","3258","3504","4602","1993","1933","2208","2193","2959","4628","1792","2622","2882","2472","2025","2209","3640","1360","1743","1734","1341","1186","2018-01-20 17:59:51","1024","1366","7","166","16","1","CA","45.3155","-75.837"
