"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"1","4","1","5","1","5","1","5","1","5","4","2","5","2","1","4","3","3","4","4","3","2","2","3","4","4","3","4","3","2","4","1","4","2","3","1","4","3","3","3","3","2","3","3","3","3","5","3","3","3","3765","3472","2086","822","2045","2647","2326","1912","2840","900","1867","5758","1812","11912","2367","2101","2010","1552","2478","2032","4136","4135","2132","2030","2912","2656","2851","3226","1917","4330","2456","4434","2177","4471","2583","2589","2147","2144","1993","2745","2043","3434","3540","2705","1617","2123","5234","1838","3849","851","2016-09-24 10:39:11","1920","1080","10","143","13","1","AU","-27.0","133.0"
"3","1","4","3","5","1","3","3","4","3","1","5","3","5","1","1","1","1","5","1","1","5","3","5","4","4","2","1","5","5","3","1","4","1","1","1","5","2","1","5","3","1","5","2","4","2","3","2","1","5","3874","1799","2516","8440","3876","7477","9386","7725","4282","10048","8900","2240","3691","2468","2956","6612","1968","2980","9022","2538","8824","3026","6942","3532","12803","6188","7050","6104","4430","4842","2766","4516","10379","3239","5286","2598","1334","7216","3443","4488","3610","3792","2876","5402","3860","5286","2850","3288","5004","3727","2016-09-24 10:40:01","1280","800","3","253","11","1","US","38.6554","-90.4539"
"2","3","3","4","3","2","2","4","2","4","5","3","5","3","4","4","4","4","4","2","3","3","4","4","2","5","3","4","3","3","4","5","5","1","2","1","4","4","2","3","5","2","4","1","4","2","4","5","4","4","9740","2961","6828","3850","4087","4576","4892","4353","4657","2555","3433","5412","2900","3432","3414","2846","13111","4851","4665","3286","6470","4326","6559","2848","7005","16930","3029","4344","3262","4271","5412","9369","3269","5570","3617","5629","3714","14800","4491","24236","6198","5639","2432","5215","3375","3860","3960","5286","3802","2108","2016-09-24 10:40:23","1920","1080","8","278","17","1","AT","47.6833","15.85"
"2","4","4","5","3","5","1","1","1","5","3","5","5","2","2","1","3","3","1","3","4","4","3","1","4","5","2","3","3","4","5","1","5","3","3","2","5","3","5","5","3","3","4","1","4","2","4","5","5","5","12780","13792","2191","3262","2041","2263","4495","4888","3664","1815","1960","3337","2744","3407","2153","3201","2497","6312","2816","3471","4149","5183","2264","3249","3146","2376","2953","3935","4583","2266","3896","3856","2433","2720","3981","4240","3103","4224","2034","3297","3112","3288","3538","2344","1904","4224","2600","1657","2095","7360","2016-09-24 10:41:08","1366","768","43","184","14","1","CL","-33.45","-70.6667"
"3","4","3","2","3","2","2","3","4","2","1","5","1","3","1","1","3","2","1","1","4","3","1","2","1","2","3","2","3","4","5","4","3","1","1","5","2","5","2","2","3","2","4","1","4","1","3","3","2","4","13467","4392","2320","2136","3360","4488","1040","2392","3152","1400","3016","1296","2288","1632","4296","1768","4104","1712","1632","1664","1487","2600","2296","2344","1904","5440","6152","5616","6592","2480","1288","3400","1824","2552","2056","1088","1056","1272","1808","5824","736","2048","1792","2832","1888","2728","1576","5320","2600","5600","2016-09-24 10:41:09","1920","1080","4","148","13","1","CR","9.9283","-84.0507"
"4","2","2","3","4","2","4","3","4","3","4","3","4","1","4","4","4","4","4","4","5","4","4","5","1","5","2","4","5","4","3","1","4","4","3","2","4","4","2","4","4","1","4","1","4","2","4","4","5","3","19092","6004","2741","2873","2919","2414","4581","5508","5230","2678","3650","4355","3783","2547","2932","2156","2200","5090","1749","1272","654","848","2921","2046","3446","3763","4693","3879","5144","6461","2118","3849","3970","2145","4494","2939","3442","4187","1746","1938","1584","3913","1714","3807","2171","2326","4262","5254","2807","2117","2016-09-24 10:41:15","1920","1080","7","189","11","1","US","30.2966","-97.7663"
"3","4","3","2","3","4","4","3","5","5","4","4","5","1","5","2","3","1","2","5","1","3","1","4","4","5","1","5","4","3","4","4","5","3","2","2","3","2","2","1","4","1","4","1","3","1","4","5","5","4","11421","4085","5654","5547","3907","2529","6428","9644","6149","3173","5354","2549","2100","5266","3088","3352","4841","2894","3390","3995","2811","8701","3994","6820","9192","3109","5020","5607","2490","5170","3986","5209","4000","5031","5258","5023","3387","6885","6225","9868","3911","3672","2716","3820","3715","5533","5429","9414","2424","1763","2016-09-24 10:42:03","1920","1080","11","246","13","1","DK","55.6761","12.5683"
"1","4","3","5","2","2","1","5","2","4","2","4","3","4","2","1","3","2","2","2","4","2","4","4","4","4","4","4","2","4","1","3","4","2","2","2","5","3","4","4","4","4","4","4","4","2","4","5","4","3","56560","5225","3980","5822","3914","5258","5409","7054","2866","3971","4993","4375","6679","4316","297753","6695","8260","3073","3531","3723","6472","6036","5338","5607","3739","3791","7768","5224","12419","3783","5869","7359","4467","3833","4323","5101","4147","5370","6773","5480","3784","4973","8445","8433","3796","3048","21272","2970","2977","4266","2016-09-24 10:42:08","360","640","11","622","24","1","US","38.0","-97.0"
"1","5","3","5","2","4","3","5","2","4","3","5","4","2","4","2","3","1","3","2","2","3","1","4","4","3","2","4","2","4","3","2","4","3","4","5","5","4","5","4","4","1","5","1","5","2","5","3","5","5","9958","3957","3539","3187","6632","4495","5027","3012","2972","3345","4405","4006","2161","5264","4703","12850","4684","5107","4423","3882","4639","7084","6223","4195","3212","2804","26267","5005","2323","706","3686","13708","2465","9386","3693","2767","2786","2270","2943","3588","3484","3674","2930","3591","2605","2934","2286","3538","14063","4752","2016-09-24 10:42:11","360","640","6","253","110","1","US","29.7633","-95.3633"
"1","3","3","4","3","3","1","5","2","4","4","3","4","2","2","4","4","3","4","3","1","3","1","4","2","4","2","4","3","3","2","2","4","4","2","4","3","3","3","3","4","3","5","3","3","1","3","4","3","3","6196","1667","2748","2566","3247","3007","4300","2087","2753","3470","5973","2288","3830","2614","8678","1945","4518","5863","3182","2416","3013","3254","3532","1750","3162","2062","2667","3933","2219","5303","815","2430","3322","2535","2657","3105","5048","3136","2916","4951","2079","3902","1667","2853","8167","3019","9582","2766","962","3430","2016-09-24 10:43:53","320","568","6","177","20","1","AU","-27.0","133.0"
