"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"3","1","3","5","5","1","4","3","2","3","3","3","3","3","3","1","2","2","2","3","4","5","3","3","3","3","3","4","3","5","5","1","5","1","5","1","5","2","5","4","5","4","5","4","5","1","5","2","5","5","6469","1760","2552","3088","2296","3184","7209","10967","3889","8639","16440","3128","4000","4585","4120","5831","3209","2880","2744","2512","2087","5007","2983","3087","8032","3040","8255","4753","6040","3288","2584","3984","2776","6368","2745","4881","2896","3695","4983","6649","2241","5713","3425","5807","2655","5792","5440","3432","5065","2608","2016-12-17 15:44:42","1280","1024","3","230","7","1","RO","46.1833","21.3167"
"2","4","2","4","4","1","1","4","3","2","2","4","3","4","1","1","2","1","2","2","2","2","3","3","2","4","4","4","4","4","4","4","5","3","4","1","4","1","2","4","5","1","5","1","5","1","5","5","4","5","3752","3653","1338","1681","2399","1571","1462","3387","3230","1694","1301","1742","1621","2060","2898","1706","1596","2106","1438","1547","1418","2900","2034","2497","2594","2959","1961","999","3142","3168","1491","3275","2423","1691","6724","2194","1948","2034","1413","1364","2387","1682","1924","1838","1340","1083","2485","2327","1887","1608","2016-12-17 15:49:17","1366","768","5","112","12","1","US","42.0751","-70.88"
"3","3","3","5","3","2","2","4","2","4","5","3","5","3","3","4","4","4","5","4","1","5","5","5","1","3","2","5","4","4","3","5","5","4","2","5","2","4","3","3","3","1","3","1","4","2","3","3","4","4","5593","2532","2176","5254","3780","4350","3751","3145","1729","3215","6191","3760","1775","3806","4529","3903","3052","2464","2085","1697","11800","2147","2475","5365","3380","2986","2783","5186","2420","3150","1184","3434","2725","3673","3946","3237","1906","3248","2425","4048","3001","4696","1382","3269","3800","2801","3066","4147","3579","2100","2016-12-17 15:53:14","768","1024","2","173","10","1","GB","53.8487","-2.2217"
"1","4","3","5","3","3","2","5","1","4","5","2","5","4","2","2","1","1","4","1","1","4","1","5","2","3","3","3","4","3","5","1","5","1","4","2","5","1","5","5","4","1","3","1","3","4","4","3","5","3","3583","1986","3470","4379","5484","5819","6795","8442","3810","1142","1552","2038","1550","7912","5175","4257","1832","2002","5052","2158","4339","4424","1228","1120","3616","6406","5180","5838","3816","5080","1338","4861","2428","2538","3228","23938","2358","1366","2516","2899","2132","18232","2282","1656","2193","3968","6623","3257","3870","2074","2016-12-17 15:54:47","1280","800","3","215","8","2","US","30.0378","-95.5326"
"5","2","4","2","2","1","4","4","4","5","2","4","2","4","1","2","2","1","1","1","1","4","4","5","1","5","1","4","4","2","4","5","5","4","1","2","4","2","4","4","4","1","5","1","4","1","4","4","4","5","21828","3820","1752","4110","1871","2411","3173","4510","3134","3809","2161","2087","2523","3420","1070","3131","2171","2325","2523","2088","2103","2602","2671","2311","2422","2759","2501","2207","2328","3597","1240","13169","5216","2107","1752","3972","1294","2952","2305","2502","2728","2692","996","2093","1783","19298","1905","2745","2737","1028","2016-12-17 15:54:55","360","640","33","175","4","1","US","40.015","-105.2706"
"3","5","1","4","1","5","1","5","1","5","5","2","1","1","4","5","1","1","5","5","3","1","1","3","4","3","5","4","2","5","2","3","3","1","1","4","3","1","2","5","5","1","5","3","5","1","5","5","4","5","9087","3585","4258","5633","15570","8167","3498","2817","5738","6842","2941","5015","1824","2931","6391","4340","4273","2891","1325","2754","4293","2965","12594","3167","7727","5758","3075","4237","5760","5515","4301","4447","2296","4422","3844","4600","5041","3229","6008","2633","2283","3114","2593","2897","23201","3251","2846","3073","7659","1856","2016-12-17 15:55:07","768","1024","5","251","6","1","US","37.3281","-87.4989"
"1","1","4","4","5","2","4","4","2","2","4","4","4","4","3","4","1","1","2","1","1","4","1","3","4","5","4","2","4","2","4","2","5","1","3","1","5","1","5","5","4","3","4","4","2","2","4","2","4","2","3882","1398","3468","1829","1480","1667","3854","2477","2717","2911","1616","4892","1804","2101","3121","1555","1806","1304","2498","1515","1737","1774","1565","5934","4218","1475","7001","1590","2588","5551","1685","4219","1732","1491","3332","3342","1444","3644","2047","1910","1915","3857","3763","2651","3892","2646","1820","2580","4578","3886","2016-12-17 15:57:27","768","1024","27","139","10","1","US","38.0","-97.0"
"1","5","1","5","1","5","1","5","1","5","1","5","5","5","5","5","5","5","5","5","5","1","1","5","1","5","5","5","5","1","1","1","5","5","5","5","5","5","5","3","5","1","5","1","2","1","5","5","5","3","3991","4585","1934","3866","2491","3135","2303","1931","2548","4915","4899","4139","3404","4330","2824","3018","4097","1689","5089","1944","5031","3791","4918","2287","3563","2198","5011","2008","2449","2487","4430","5422","1912","2799","5343","2367","4620","1962","3230","5340","2881","3750","3367","2800","2997","4833","1704","1909","799","1985","2016-12-17 15:58:23","1440","900","4","167","15","1","US","38.0","-97.0"
"3","1","5","5","5","3","3","5","3","4","5","2","5","1","1","3","5","1","5","5","1","5","5","5","3","5","1","5","4","5","4","4","5","4","4","5","4","4","3","3","4","1","5","1","5","1","4","1","5","5","7642","8079","5658","4081","3971","5593","7873","1051","2429","4752","3544","10006","8769","13665","1065","7932","14515","22154","5169","12932","17069","11920","3717","3620","7088","7671","4788","4089","10982","32652","2402","3139","3999","9969","10226","5761","5305","30812","4655","7069","7199","7519","9483","8484","21082","4736","5949","7139","4665","8517","2016-12-17 15:59:28","320","568","49","434","18","1","US","40.632","-73.7126"
"1","1","1","5","4","1","1","5","1","1","5","1","3","5","4","3","1","1","2","1","1","1","1","5","4","5","4","0","5","5","5","1","5","1","5","1","5","4","5","5","1","1","2","4","0","2","4","1","5","5","6129","3920","3076","7524","3194","4978","1900","3608","5690","5221","2940","2560","9268","3697","6080","3930","4205","3366","2716","2450","3296","9020","4117","1438","4909","3682","9721","0","4262","3168","5408","5274","3390","9326","3188","6108","2922","5358","2812","2216","2344","8230","3054","3652","0","2980","4537","2876","3128","2384","2016-12-17 16:07:23","1280","800","20","213","13","1","AU","-27.0","133.0"
"3","3","2","5","1","1","2","4","4","4","5","5","5","2","3","4","3","3","4","4","1","4","3","5","2","5","1","5","4","3","1","4","4","4","1","5","3","3","2","5","4","1","5","0","4","1","3","4","5","5","8072","2499","4503","4997","2456","5290","2751","1951","3399","2352","1675","3059","766","3683","2171","1117","916","2567","2631","8139","3578","1788","2486","1651","2364","1305","2899","2644","6237","4541","2277","4374","2606","4474","7305","2139","5870","2899","6970","1062","2971","2475","3545","0","4635","7305","5255","3097","2649","1135","2016-12-17 16:19:54","375","667","2","168","16","1","US","41.9731","-91.5767"
"3","3","4","2","4","2","3","2","5","3","2","3","3","3","1","2","1","2","1","2","5","4","1","4","1","4","1","5","5","4","4","2","2","2","3","2","4","2","3","2","3","1","3","2","4","1","4","2","3","3","18809","8751","10017","14856","11551","8514","8922","6072","7629","13499","2157","4729","3736","4509","9173","8131","5426","6964","3203","3776","8485","3053","3303","4660","4349","14904","3057","8040","3874","16968","21967","24444","7777","6122","15469","7827","3276","73351","3960","4659","3422","5146","10426","8049","6111","12358","4262","3943","56046","2999","2016-12-17 16:20:26","1440","900","1304","539","16","2","NONE","NONE","NONE"
"4","1","5","1","5","1","5","2","5","2","1","3","2","4","4","4","3","3","3","2","4","4","4","3","4","4","4","1","4","3","2","5","4","5","3","5","2","3","4","4","5","2","5","2","5","1","4","5","4","5","10601","3348","5285","2151","1733","2902","8744","2748","2799","2699","7197","3785","4787","7715","5051","1984","3368","3218","6329","3070","1284","3802","4669","3915","35947","4465","3921","5892","4266","2992","7681","4166","4311","4068","6505","4083","4144","3474","3519","4855","5205","12699","2583","7770","783","3137","3190","2751","8688","4149","2016-12-17 16:22:07","375","667","10","265","17","1","DE","49.5386","8.354"
"3","3","4","4","3","3","4","4","3","4","5","2","5","3","4","3","3","4","2","2","1","4","3","4","2","4","2","4","4","4","4","2","5","4","3","5","4","2","5","5","3","4","4","3","3","2","4","3","4","4","10133","3966","6585","4014","4688","4562","4526","5145","3745","3538","5011","5342","16761","5312","6355","7819","7822","3688","3504","3649","7013","5462","5405","3817","4586","4952","4429","6827","5181","4585","3640","7218","3735","2578","4206","10016","4696","5086","3041","4440","6558","7854","3844","6600","3268","2368","3745","3550","3989","5307","2016-12-17 16:22:58","1366","768","5","266","24","1","MX","20.6","-89.2083"
"2","2","4","4","2","1","2","4","2","5","5","2","5","1","5","4","5","5","5","5","1","5","5","5","1","5","2","4","5","2","2","2","5","2","5","2","5","1","4","5","4","1","5","1","5","1","5","4","5","5","12540","4586","6124","3501","2978","3672","6372","3651","3202","2426","13025","5124","2732","4988","3588","6433","2524","4014","3275","2401","7827","5015","4305","2712","3634","4555","4412","5325","5026","6393","5377","4005","5708","5379","3045","9668","2463","3415","6892","5966","3712","4951","3268","2836","3447","4001","5025","3440","6604","2386","2016-12-17 16:25:23","369","476","13","240","14","1","NO","59.95","10.75"
"2","3","4","2","2","3","2","4","2","4","5","2","5","2","3","4","3","2","4","4","1","4","2","5","1","4","2","5","5","4","3","4","4","4","1","4","2","1","4","4","4","1","4","2","3","4","5","4","4","5","5115","2178","3426","9046","2047","3824","3494","2611","9063","3607","2260","5702","3206","6968","5820","6153","5537","5237","3674","3008","3126","3026","3774","3341","4470","3807","4938","4705","6367","2861","2943","2811","5058","13368","3824","3093","2194","5969","1996","6468","5903","3574","2743","3291","3591","3673","2993","2776","2527","1863","2016-12-17 16:27:11","1280","800","6","214","12","1","US","42.0334","-88.0834"
"4","1","3","3","4","2","3","2","4","2","3","3","4","3","4","3","4","4","3","3","1","4","2","4","2","4","2","4","5","3","2","3","5","3","3","3","2","3","2","3","3","1","3","1","5","3","4","4","5","4","7935","1877","4535","3139","3320","5333","6745","4782","2084","4948","2942","3616","3072","2490","3256","2374","2337","5905","6850","1353","5548","4599","3017","1963","4503","850","2901","3568","2282","2427","2562","3157","2754","2976","4954","7300","1883","2544","2397","1688","2732","3200","3243","3068","1620","5078","2865","2712","4217","1857","2016-12-17 16:29:19","1366","768","6","174","16","2","NL","51.4425","3.5736"
"1","2","1","5","5","2","5","5","5","4","2","2","2","2","1","2","5","5","0","4","5","4","5","1","5","1","5","1","1","2","5","1","5","2","1","1","4","2","3","3","4","3","5","2","5","1","5","3","1","4","5902","3859","3806","3233","3658","3687","2845","3701","3268","4331","2811","3559","3794","2471","3084","2954","2198","3008","0","4116","4713","6615","3288","2907","2910","4390","2649","2810","3041","3193","3318","4652","4305","2417","9276","3687","2430","3110","3654","3461","3166","4123","3556","2970","2655","2573","3380","4114","2931","2298","2016-12-17 16:30:18","360","640","9","177","7","1","GB","51.4855","-3.1587"
"4","1","4","4","5","1","5","5","5","3","3","3","5","5","1","1","4","1","1","1","1","5","1","5","1","1","1","5","5","5","4","3","5","3","5","3","5","1","1","5","5","2","5","1","5","1","5","1","5","5","44941","2410","2158","2095","2198","1804","3006","5946","3382","3287","2556","1852","4254","4667","4352","2780","2447","2710","1748","1673","3806","2478","2919","2112","2054","4550","2329","1857","2140","2843","2508","4691","1817","2109","4998","2550","1737","2564","1843","1968","2486","6020","1657","3718","1726","1518","1984","2141","2384","1632","2016-12-17 16:31:07","1280","800","5","181","19","1","PE","-12.05","-77.05"
"1","4","1","5","0","1","1","5","2","5","5","1","5","1","4","4","5","5","5","5","4","5","5","4","4","2","2","1","1","2","5","2","5","3","2","2","5","3","4","4","5","4","4","2","5","2","5","5","5","5","3361","3492","3375","1049","0","12668","4927","1350","3171","1052","2727","4806","2670","4699","1894","2288","1652","3581","8633","1932","5338","1241","2342","6390","11604","4036","2453","4301","2609","1795","1223","5960","1993","3777","2794","2378","1952","2670","3531","3635","692","1834","1436","8168","19727","2353","1462","1584","3023","1573","2016-12-17 16:31:56","768","1024","3","185","5","1","IE","53.3478","-6.2597"
"5","3","5","2","5","3","5","2","5","2","1","5","3","1","2","2","2","1","2","1","2","5","1","4","2","5","2","2","5","5","4","2","4","2","2","3","3","3","2","3","3","2","5","4","5","5","4","3","3","5","2914","4984","5530","5529","1189","4610","1505","5998","11319","4990","6566","5655","11858","4733","14136","6246","9480","5598","5873","2767","17219","4600","5830","11367","8962","4707","10907","5667","1071","8220","9540","5969","4943","5732","1353","6695","988","3543","7177","11195","8566","10637","1001","8691","969","5110","14049","22312","8396","3187","2016-12-17 16:39:03","320","568","19","342","32","1","US","35.4894","-120.6707"
