"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"2","4","3","5","1","4","2","4","4","5","3","3","4","2","3","3","4","3","3","2","3","5","5","5","2","3","1","2","4","3","2","3","5","3","2","2","3","3","2","3","4","1","5","2","4","1","4","3","5","3","2311","3340","9135","1202","7051","1810","4337","1611","3687","1239","2448","5359","1415","2066","3812","7585","2483","2091","2599","2052","5376","1793","1711","1128","2635","3847","3604","6069","3749","5252","2292","5353","2750","3689","3816","5000","2794","3028","2162","1885","2724","3886","2344","2555","2251","8165","925","1830","1757","2252","2016-06-13 11:33:50","1366","768","34","167","7","1","US","42.3223","-83.1763"
"4","4","4","4","1","4","2","4","2","5","4","2","4","1","4","5","5","5","1","4","1","5","2","4","1","5","1","4","5","4","4","5","3","5","2","4","4","4","5","4","4","1","3","1","2","4","5","4","3","2","11228","1044","7255","2413","1784","3603","4157","4806","2575","2069","8196","5199","2203","4974","6811","4602","2130","2648","5574","4195","2547","20942","3161","2518","3542","2338","2997","4219","2510","4457","1054","2980","8994","2510","5436","3408","2545","6742","4269","1056","6674","3629","4659","2462","3962","7397","4379","2357","7587","2944","2016-06-13 11:34:19","360","640","11","224","12","1","GB","51.5","-0.13"
"3","2","4","2","5","1","4","2","3","2","3","3","4","4","2","2","2","2","2","1","1","5","1","5","1","5","2","4","4","4","4","3","3","2","4","5","3","1","3","3","4","4","4","2","3","2","3","4","3","4","8561","3392","2744","3289","1960","4184","16824","4552","6760","10816","3983","1248","2376","3824","2816","2664","3432","3592","11056","11088","3278","2336","3200","2392","2686","1872","992","4432","2688","3048","1801","3856","2328","2176","4090","3720","2856","2440","2664","6648","3321","3272","3175","3088","2408","6096","8808","3736","27216","1568","2016-06-13 11:36:30","1680","1050","8","232","9","1","US","38.0","-97.0"
"1","4","4","5","2","2","1","5","4","5","3","3","4","3","2","2","5","2","4","1","2","5","4","4","2","4","3","5","4","5","4","2","5","2","5","2","5","2","4","5","5","2","2","5","4","2","5","5","4","4","3279","2216","2503","2518","3179","1331","6716","1300","3102","2200","3352","2450","766","2317","2883","633","435","2677","2034","1768","3219","1586","1666","2185","753","2467","3102","1734","1616","1934","2333","2416","4019","1551","2131","3270","2901","1986","2217","2453","1800","2483","1916","4640","2167","3636","1549","3438","2035","715","2016-06-13 11:36:54","1920","1080","16","118","10","7","US","39.993","-82.9985"
"2","3","3","2","2","2","1","5","2","4","5","3","5","3","4","5","4","5","5","3","2","4","4","5","1","4","1","5","5","4","1","5","5","3","4","4","5","1","5","5","2","5","2","5","3","3","2","2","3","2","7212","21122","6507","6191","5842","1867","2857","5524","6473","2891","5059","4427","1016","7851","5505","1923","5658","3520","5784","3869","8563","9931","4005","4506","15723","6325","4923","2240","16365","4131","11462","3229","6023","51478","3874","2864","2549","14818","2847","7725","3783","3488","4358","3274","3288","4383","3219","3804","9086","1838","2016-06-13 11:39:01","1366","768","148","341","31","1","US","42.0418","-70.6723"
"2","3","2","3","3","3","2","3","3","4","3","3","3","1","1","4","3","3","3","5","1","5","3","5","1","5","1","4","5","4","3","5","3","3","1","5","2","4","3","5","5","1","5","1","4","1","5","5","5","4","5144","2475","2834","2760","2835","2749","3718","1255","2648","3719","1206","3158","3219","2376","2672","3794","2649","5332","7300","2327","3397","2076","5036","2250","3197","3742","3407","3095","2114","4462","2733","3333","3542","4164","4962","10309","2910","7052","4140","4565","9678","3308","3145","2323","1878","2984","5061","4068","4266","2113","2016-06-13 11:41:38","1366","768","4","185","12","1","DE","51.0","9.0"
"3","4","4","4","5","4","3","5","2","5","4","3","4","4","1","2","1","1","3","2","1","3","1","5","2","4","2","4","4","5","3","5","2","5","1","5","2","3","4","4","4","2","5","3","3","1","4","3","4","4","5022","1936","1920","1920","2096","2048","3041","2616","2392","1577","1576","3947","1944","1384","1432","1608","2008","1584","1376","1248","2726","2488","4128","5064","1792","2296","1480","2392","3128","1888","2992","2933","4120","1576","2201","4088","1560","4000","4408","1568","2064","2880","2000","2320","2528","2071","2040","3224","1591","1304","2016-06-13 11:43:02","1440","900","6","168","5","8","CA","43.8624","-79.9945"
"3","3","3","3","3","3","3","3","3","4","3","4","4","4","3","3","3","3","3","2","1","5","1","5","3","5","2","5","5","4","4","4","5","3","4","2","5","1","5","5","5","3","5","3","4","1","4","4","5","4","5856","2902","3549","2745","1714","10770","3089","2100","1980","2918","1520","2455","3087","2796","1653","3051","1422","2834","1895","2164","2609","2563","1628","2322","2224","2200","1689","1583","1871","1603","2516","1677","2284","1822","2091","2321","1435","1994","1460","1678","2397","1519","1278","2176","1288","3402","2966","1458","1812","1277","2016-06-13 11:45:52","1366","768","10","123","8","1","US","45.0141","-93.0305"
"3","1","5","2","3","2","1","2","5","2","3","3","3","5","3","1","1","1","1","1","1","5","1","4","4","3","1","3","4","5","5","4","4","1","1","3","4","3","2","4","4","1","2","1","4","1","5","2","5","4","2281","3068","1185","8149","3685","3118","7554","2702","43556","1918","4483","87974","10817","6135","4401","6252","101656","21229","337383","1061","9627","1515","8966","5649","3832","2066","4363","4633","63495","1751","1968","5468","1813","1601","14301","4250","5085","2397","5614","4515","2619","6182","2804","1682","4717","2915","1367","3303","1881","4835","2016-06-13 11:46:35","375","667","1","845","15","1","US","38.0","-97.0"
"3","1","5","3","5","1","5","1","3","3","3","3","3","3","3","3","3","1","3","1","1","5","1","5","1","5","1","5","5","3","5","1","5","1","3","1","3","1","5","3","5","1","3","1","3","1","5","3","5","5","3517","2340","1901","3634","1676","5096","2869","3330","2744","2160","2114","3960","2643","7402","4331","2835","3274","5107","5006","1035","2463","3083","1901","2002","1722","1924","2171","2812","2070","6389","6615","2519","1969","2002","4691","3172","4128","1120886","1755","3454","3386","3139","4680","3015","2879","3791","1991","3893","1879","1271","2016-06-13 11:50:15","1920","1080","3","1275","11","1","US","30.2672","-97.7431"
