"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"4","3","3","2","2","2","4","4","3","4","4","3","5","2","4","4","4","3","4","4","1","4","4","5","1","5","1","2","4","5","2","5","2","5","2","4","2","3","2","2","3","4","4","2","4","2","4","2","5","4","109648","4982","4462","4228","3642","2670","6017","2834","8200","2754","2108","3848","2841","5261","5321","18131","3001","5838","3017","2246","4054","3489","3367","3173","6676","2781","1368","3148","798","3114","2445","5879","7486","6416","2703","9070","2462","4616","2634","4473","3659","4337","2561","3886","2843","3019","3235","3750","2940","2322","2018-03-22 17:28:44","375","667","33","316","18","1","US","40.5982","-83.1425"
"5","5","1","5","4","4","1","4","5","5","3","3","5","1","4","2","3","1","5","3","3","1","3","1","5","1","5","4","1","1","2","3","4","4","5","4","5","3","2","4","4","2","5","3","5","1","2","5","3","5","5228","10017","5756","2976","4888","3088","4208","3216","6232","7817","3535","7432","2919","80564","3512","4160","4024","3680","3728","4216","3247","5207","5856","4503","8568","36197","8607","4384","3840","7383","5088","4352","6072","7113","3576","10144","2353","7096","3320","5936","5760","6177","5153","4520","3032","4032","3480","3438","5920","2096","2018-03-22 17:29:56","1366","1024","4","360","17","64","US","36.8463","-76.0979"
"4","4","3","3","4","3","4","3","4","4","1","4","3","4","3","0","3","2","4","2","3","3","4","3","3","2","3","4","3","4","4","3","5","2","2","3","4","2","4","5","5","2","4","3","4","2","4","4","4","4","9610","2912","2985","8192","3580","3283","5713","4188","3277","3178","3905","4990","3218","5304","4415","0","3649","42241","2771","3924","12881","2913","3404","3279","3432","3773","4064","4593","3092","3866","1721","6730","2871","4035","4914","6773","3106","6581","2725","3157","3248","6648","3968","3674","3493","4052","3248","3764","3777","3489","2018-03-22 17:30:02","346","615","18","252","13","1","US","34.9159","-85.1091"
"3","2","4","3","3","3","1","3","3","2","3","3","4","3","3","3","4","3","3","3","4","5","1","4","4","3","3","4","3","3","3","1","3","2","3","2","3","3","3","3","3","3","3","3","4","3","3","2","2","3","3918","3833","7834","1067","1117","2112","5245","2622","3481","2640","1083","1183","9137","3213","2367","2022","2488","2244","5384","1461","8601","10283","2052","2166","2434","1138","4948","2270","1742","2989","2215","3117","1583","5080","2548","4721","1787","1712","3074","3294","1584","3150","1667","440769","5068","2374","4489","2118","2921","33463","2018-03-22 17:30:15","1366","768","75","631","14","7","US","40.5103","-88.998"
"2","4","3","4","4","2","1","3","2","5","4","3","4","3","2","4","4","4","4","3","1","5","2","5","2","5","1","5","5","5","4","4","3","4","1","3","3","1","4","3","3","4","5","4","4","1","4","2","4","4","8039","4750","4382","2584","1985","2999","3183","5084","3601","2333","2818","3034","1984","2300","5183","1985","3335","4052","2317","2234","2745","1650","3467","2535","3385","1968","4617","5082","2634","2052","3499","2335","2685","1765","2616","5233","1935","3167","3083","3465","2031","14237","2182","3267","4352","3965","2984","3367","3316","1769","2018-03-22 17:32:37","414","736","8","170","8","1","US","38.0","-97.0"
"1","4","5","1","5","1","5","5","4","1","4","2","5","5","5","2","2","1","5","1","5","4","1","5","1","5","2","5","5","5","5","4","5","1","5","5","5","1","5","5","4","2","5","1","5","5","5","2","5","5","20901","1601","4600","4734","3581","2883","4035","1866","5849","2952","2850","1866","4201","3716","3034","5033","8717","2483","3820","2333","4367","3266","3218","3716","4451","10703","6448","2101","3566","2998","1584","9051","2949","5102","3432","1601","2335","4084","1134","5701","2401","18052","2400","5436","1483","2533","4767","3053","1614","1902","2018-03-22 17:35:08","1440","900","25","218","17","1","CA","45.7953","-66.4783"
"5","1","5","1","5","1","5","3","5","2","1","5","5","5","1","1","1","1","1","1","1","5","1","5","1","5","1","5","5","5","5","1","5","1","5","1","4","1","5","5","5","2","5","5","5","1","5","5","5","5","8288","7649","814","14815","1804","6612","2594","38587","767","7381","7647","848","660","10087","4576","7894","3302","15789","8485","5184","8884","826","29510","634","10389","615","6741","691","676","560","1641","11464","2794","3712","1243","4909","4364","4717","1577","545","736","6795","523","1865","662","8466","1014","762","710","780","2018-03-22 17:35:08","360","640","4","290","3","3","CA","43.7494","-79.7511"
"4","3","2","4","3","2","3","2","4","2","2","4","4","5","4","2","3","4","3","3","5","4","5","1","5","1","5","2","1","4","3","4","5","4","3","3","1","4","2","4","4","4","3","4","4","3","5","5","2","3","3253","2206","4134","12502","3087","2549","3600","5530","2477","2440","7070","3252","9379","4123","3002","6564","2454","2039","1880","1879","2452","3316","2135","4233","1963","2307","3137","5125","1843","5005","3061","11669","30986","3860","3200","4917","5099","2440","1721","2918","3781","4403","1671","19100","1112","2161","2342","3332","2747","1097","2018-03-22 17:35:09","1366","768","127","227","6","2","US","29.4622","-98.4893"
"2","5","2","4","2","4","2","4","2","4","5","2","5","2","4","4","3","3","4","4","1","3","2","4","2","4","2","4","4","2","4","3","5","3","2","3","4","2","4","4","4","4","4","2","3","2","3","3","4","2","13120","4933","3324","3401","2563","2575","3092","4282","3910","3757","5204","5434","1983","3367","2618","3394","4267","3465","4383","3805","9503","15283","4370","4408","6400","4621","3472","4236","2828","3999","5318","7924","3777","3963","2702","5078","4729","3877","3778","4710","6316","6501","3045","6657","2874","5424","3608","4401","3970","4319","2018-03-22 17:37:33","375","667","52","244","17","2","US","32.8334","-96.7936"
"1","3","2","4","2","3","1","4","2","4","1","4","2","4","2","1","2","2","2","2","4","2","2","5","2","4","2","4","4","4","3","4","4","2","4","2","4","2","3","4","4","2","3","2","4","2","4","2","5","4","3159","3811","2603","2721","2091","1562","3572","2736","5044","2357","3702","2211","3937","1680","2017","1815","2078","10520","2470","1579","3019","3085","1642","2136","2792","5309","2227","2939","6326","2168","3268","3819","1651","2723","1752","3589","1550","4225","1595","2180","2747","1882","1660","1627","1507","2377","1464","3684","2121","1282","2018-03-22 17:37:35","1920","1080","34","141","13","1","MX","19.43","-99.13"
