"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"1","4","3","4","3","2","2","4","2","4","4","3","5","3","3","4","3","3","3","3","1","3","2","5","1","5","2","4","5","4","3","4","4","1","2","2","4","1","5","3","3","2","3","2","4","3","4","2","4","4","8762","2906","5004","4818","6928","4192","3900","2478","3524","2440","2720","2266","2852","7129","2872","2388","3312","2108","2198","1917","3882","3078","4310","2452","2844","2248","3942","4682","2192","1964","3262","4556","2218","2126","2588","7666","1642","2470","1894","4516","2128","5518","2702","2492","2998","2880","3460","4776","2560","1620","2017-03-16 09:10:56","1366","768","84","172","15","1","US","36.0318","-84.028"
"4","1","5","1","5","1","5","2","5","5","5","5","5","2","5","1","5","5","2","5","1","5","4","5","1","5","1","5","5","5","2","5","3","3","3","5","3","5","3","3","5","3","5","1","3","1","5","5","5","3","5239","1127","10674","9700","8425","4416","3974","11885","3541","2643","4109","5831","4233","5650","2896","2964","5598","991","2457","1742","4106","6467","4886","10246","942","2374","2539","1276","1998","3258","4973","2042","3192","3856","3964","2625","3215","1151","2018","6290","5327","11152","635","3308","2205","6656","7153","3681","906","4717","2017-03-16 09:10:58","534","854","4","221","13","1","PH","14.5833","120.9667"
"5","3","5","3","5","2","5","2","5","3","2","5","3","4","2","3","3","3","3","2","1","4","3","4","3","3","1","5","5","5","5","1","5","2","2","2","5","1","4","5","3","4","4","1","5","4","5","3","3","5","3025","5653","3658","1314","1878","2810","2626","1697","2794","3758","2893","2460","1130","2628","2210","1413","3158","981","1582","2179","1427","4174","1996","1930","2375","3907","2080","2144","1732","1364","1747","1280","4223","1744","1697","1231","2095","2578","1313","2144","1762","1714","2044","2579","932","1663","2112","3524","2255","897","2017-03-16 09:14:23","1280","800","2","115","10","1","US","36.8267","-76.0179"
"2","4","3","4","3","2","3","4","2","3","3","3","4","2","2","2","3","2","3","4","3","3","2","4","3","3","3","3","3","3","4","4","3","2","2","2","4","2","4","4","5","1","3","1","5","2","4","5","5","4","4234","2738","2285","3878","2215","980","2720","1377","7396","2864","3073","1152","2450","1704","2271","2487","1536","1651","4513","2095","3105","3374","1219","1086","2086","4205","2752","1928","1556","1304","1463","3175","4760","2162","1747","657","1248","1624","1400","1680","916","2228","4242","1806","2402","1152","3039","1220","1863","801","2017-03-16 09:14:54","1920","1080","1","117","7","1","US","39.9784","-86.118"
"2","4","5","3","3","3","3","3","3","3","2","4","2","4","2","4","2","1","2","2","2","5","1","4","1","2","2","5","5","3","0","4","5","1","5","2","4","1","4","5","3","1","4","1","5","1","4","2","5","3","37662","6013","4970","15814","4717","5478","9529","6918","5102","6521","19416","4767","5150","30005","4569","3022","3430","5713","2910","11960","8774","3962","3737","4258","5097","4442","7596","7911","5910","10903","0","6989","3460","4095","11840","7151","4627","10541","2674","5329","7287","4619","6222","7547","3976","4804","5156","3878","7341","3050","2017-03-16 09:16:15","1536","864","599","372","18","1","RO","44.1833","28.65"
"2","1","4","2","4","2","3","3","3","2","4","2","3","3","2","4","5","5","3","3","3","4","4","4","2","2","2","3","4","4","5","1","4","2","4","1","5","1","4","4","3","4","3","4","3","3","3","2","2","3","16009","2384","2726","3611","2567","3293","6137","5820","4163","5015","3415","4401","2657","5795","5545","2208","2605","4711","3926","3976","13387","13180","9254","2514","4078","2789","2766","5914","4313","9081","44171","11349","3436","3129","12908","5539","8431","6970","2077","14557","4618","2952","8449","3586","2473","3240","2860","2683","11914","1970","2017-03-16 09:17:09","1440","900","2","319","14","1","ID","-7.9797","112.6304"
"3","2","5","3","4","2","4","2","4","3","3","4","4","3","2","4","3","3","4","4","1","4","3","4","2","4","2","4","3","4","2","3","3","3","1","4","3","3","2","3","3","2","4","2","3","2","4","2","4","3","6792","9477","5740","2604","5086","2153","4337","2536","4011","4008","2380","5706","3003","3703","2932","2719","3030","1899","1941","2912","6378","3437","3709","3749","3487","2299","2379","3652","3322","8715","4554","9855","2301","2301","2963","6394","2240","6434","4690","3040","3668","1463","4341","2181","3021","2983","4512","2143","5204","1570","2017-03-16 09:17:32","1366","768","23","195","15","276","US","37.5155","-121.8962"
"3","1","4","2","4","1","4","3","4","3","4","3","5","3","2","3","4","3","3","3","1","5","4","5","1","5","1","3","5","4","2","5","5","4","1","5","2","4","3","2","5","3","5","2","4","1","5","5","4","4","8003","2662","2049","2249","2384","1811","2697","3295","2316","2785","3733","3067","1844","2961","3086","2217","2633","2318","1947","2301","4100","1903","3357","2014","3431","3128","2047","2652","2950","2419","3790","2381","2816","2477","2360","2501","1911","2745","1851","2675","2146","3009","1627","3363","3034","1985","3697","2506","4053","2549","2017-03-16 09:23:57","360","640","22","139","8","1","GB","55.9067","-3.1432"
"1","4","1","5","2","5","1","5","1","5","2","2","5","5","3","1","1","1","1","4","3","3","1","4","3","2","2","5","5","5","5","5","4","4","2","5","4","4","1","5","4","4","4","4","4","1","3","3","4","3","96489","4495","5831","3896","2632","4096","7447","3304","3423","3328","3464","3728","1909","14672","5944","4527","3799","3023","1578","9088","8200","2577","28552","8576","7344","2606","4825","3376","2248","2361","1055","3007","3185","1640","1264","5216","5000","3912","3872","19376","1633","252735","2201","2656","1424","3673","2105","3489","2342","1464","2017-03-16 09:24:12","1920","1080","11","579","16","1","HU","47.5","19.0833"
"4","1","5","1","5","1","5","4","5","4","2","2","3","5","1","1","1","1","1","1","1","5","1","5","1","5","1","4","5","5","4","2","2","1","4","4","4","1","5","4","4","1","4","1","4","1","4","1","4","5","6092","4424","2192","3815","2264","2008","4936","1456","2792","1968","4680","3824","3040","4488","4880","2760","5080","3952","2592","3048","2352","1896","2144","2481","4368","2160","5856","2688","2296","2296","3160","4520","4288","2559","3632","2832","2816","2920","1376","3921","6560","4392","3856","3768","2848","2752","5688","6576","7455","2744","2017-03-16 09:24:32","1440","900","12","194","13","105","US","35.994","-78.8986"
