"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"2","4","4","3","3","4","3","3","4","3","5","4","5","2","2","3","3","2","2","2","2","4","1","4","2","4","2","4","3","4","4","4","4","2","2","3","4","3","4","5","4","2","4","2","4","2","3","3","4","4","67383","2950","3340","1659","1938","1383","10236","800","3217","3033","5438","1987","2725","5584","1869","1814","1301","1967","2357","2274","4127","1896","3012","3536","16743","1434","2326","3195","2890","1209","5675","1700","2018","5637","2172","3914","2202","22870","1424","8730","2255","10029","1865","2121","2189","2284","7369","1897","3207","1318","2016-11-11 06:47:24","1366","768","16","256","13","71","US","29.9988","-95.2622"
"2","3","3","3","3","2","2","4","2","5","5","0","5","1","3","5","5","4","3","5","1","4","2","5","2","5","3","5","4","2","3","4","4","5","2","4","4","3","3","4","3","2","4","2","4","1","3","3","5","4","12595","3879","9953","2225","2022","2003","11355","3724","2794","2571","10601","0","4783","5616","1949","1319","1138","1482","1412","1586","6462","1597","2681","2854","3027","1469","2428","3900","2163","2560","4323","36014","4012","1371","1554","38385","2082","1981","2427","6147","1890","4122","1645","2457","1930","1981","2939","2875","22369","11706","2016-11-11 06:47:24","1366","768","13","266","10","71","US","29.9988","-95.2622"
"2","4","4","4","4","3","2","4","4","5","4","5","4","2","2","2","1","1","3","2","2","5","2","4","2","4","1","5","4","4","4","1","5","2","2","2","2","4","3","5","4","1","3","3","5","1","5","3","4","4","48925","7500","2834","2499","4694","6410","3994","4839","3150","7184","1554","4005","3281","2926","23840","7722","1830","40882","2153","1583","15499","11415","39674","8242","5090","22126","39230","9896","2591","4634","2335","15515","2824","2336","5831","3475","2538","13666","2337","2074","1921","7876","3485","3607","2856","8970","3544","8342","1849","8149","2016-11-11 06:47:40","1366","768","114","445","39","71","US","29.9988","-95.2622"
"3","2","4","3","3","2","3","3","3","3","3","3","3","2","3","2","4","2","4","2","2","3","2","3","2","4","2","4","3","3","3","3","4","3","2","4","2","2","3","3","2","3","4","2","3","2","4","2","3","3","81613","2274","2102","10300","2377","5314","3325","3069","2033","9179","2119","5017","1973","3406","2447","2173","2775","1591","2968","1795","11388","1602","2223","2162","1683","8873","3355","2835","2863","3028","2633","22549","1488","1357","1468","2325","1570","2895","1194","3722","1979","4376","1866","1254","1470","2263","1448","1652","4598","1296","2016-11-11 06:47:51","1366","768","29","253","17","71","US","29.9988","-95.2622"
"3","2","4","2","3","3","3","4","5","3","4","3","4","5","5","2","4","3","3","1","4","2","3","2","3","1","3","2","3","2","4","1","4","1","2","1","5","3","5","3","2","2","4","3","4","2","4","3","3","4","6450","3384","2396","2703","8886","1967","3623","4785","8870","2048","2463","4333","1177","12462","2397","1641","1755","1295","1716","1949","7099","1999","2305","3529","1570","3458","3811","3487","1878","3011","1412","4927","4050","2724","4111","18045","2357","3071","1722","4499","2309","3959","1832","3089","1624","3551","3080","10928","2998","2385","2016-11-11 06:48:20","1366","768","73","214","55","71","US","29.9988","-95.2622"
"3","4","4","4","2","2","1","5","2","5","5","2","5","3","1","2","1","1","1","1","1","5","1","5","2","4","2","5","4","3","5","1","5","1","2","1","5","1","4","5","4","2","5","2","5","1","5","2","4","5","8433","2872","4369","4956","7292","2648","16271","5060","6933","3002","2545","1986","1618","4969","7597","4073","5948","1252","4791","2841","4429","2617","4165","2353","4531","4450","6200","4663","3626","3290","3126","5275","4521","3329","15681","6138","2150","14049","6693","4458","2116","6648","2403","3126","2913","2942","3359","9785","2384","1975","2016-11-11 06:48:23","1366","768","4","244","20","71","US","29.9988","-95.2622"
"4","3","3","2","5","2","4","2","5","1","3","2","4","4","4","2","4","4","3","2","3","5","2","3","2","0","2","3","3","4","5","1","4","2","3","1","5","3","5","4","5","1","4","1","5","1","5","5","4","4","88733","5748","4767","5127","3884","5051","4669","4834","5134","4767","5547","5350","4267","6464","4172","9482","5181","3584","4616","6918","3075","4568","7363","6436","4812","0","4382","7500","6081","3866","10268","6866","4185","4217","4118","4685","3750","4665","4102","6165","3952","5733","6771","6520","4046","9982","4819","4749","5300","3235","2016-11-11 06:48:23","320","568","71","350","8","1","DK","55.6667","12.5833"
"3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","12113","2697","681","549","1130","1876","517","476","556","1287","2889","1460","596","630","3670","487","487","699","730","559","5273","69087","628","537","476","1330","517","1025","2493","761","1309","1236","590","1085","645","586","517","952","538","556","3448","556","639","475","812","497","649","519","1167","739","2016-11-11 06:49:57","1366","768","6","138","26","71","US","29.9988","-95.2622"
"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","8675","760","527","739","1135","3922","456","537","596","3225","4876","656","648","852","760","598","567","669","608","578","3484","658","628","1186","781","1044","548","649","688","1539","2585","2705","640","649","710","4128","588","608","598","1075","2604","751","599","1926","760","517","538","1247","578","903","2016-11-11 06:51:44","1366","768","3","74","27","71","US","29.9988","-95.2622"
"4","1","5","2","5","2","5","3","4","2","4","4","0","3","2","3","3","3","3","2","3","4","1","5","2","5","1","4","4","3","2","3","5","3","3","3","4","4","4","4","4","4","5","3","4","4","4","3","4","4","8662","1471","2136","3868","2473","2483","1179","1090","3043","1706","1471","777","0","2114","1155","960","859","1225","1288","1257","3708","1716","1226","2305","15409","3085","762","2790","2372","1307","1787","3596","1686","1420","1869","1267","1767","1257","857","1206","2779","6457","2666","1532","2605","8674","3404","1728","7274","1132","2016-11-11 06:51:46","1366","768","3","130","16","71","US","29.9988","-95.2622"
