"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"3","1","4","2","4","1","3","2","5","2","1","5","2","3","4","2","2","2","4","3","4","2","2","2","2","2","4","4","1","4","2","4","4","4","2","5","3","1","2","5","5","1","4","1","5","1","5","5","2","5","7959","5557","1854","1807","2150","3989","3111","3603","3815","2910","3795","4509","3438","3969","3168","2150","6321","3869","1740","5954","902","2491","4679","1778","2743","2358","3061","2975","2128","3162","16863","7047","2473","3548","5984","6928","3270","4425","3004","5506","1849","3207","1901","4763","901","3001","3248","2595","4820","1442","2018-09-19 13:29:49","375","667","594","190","16","1","DK","55.6761","12.5683"
"2","3","2","3","2","3","1","3","3","4","4","2","4","2","1","2","3","2","2","4","4","3","1","3","4","2","4","3","5","4","4","4","5","3","2","4","4","2","4","4","5","2","5","1","4","1","5","5","5","4","14585","2865","2039","1673","7242","5120","1802","2766","2985","2112","1229","2486","1152","3964","2916","1180","2101","2822","1528","2031","2484","3802","1048","1783","5991","2612","2426","3322","3664","3212","1167","2417","4085","5202","2121","4290","1271","1159","3662","1445","1877","4124","1071","8266","4846","3331","3926","5319","2576","631","2018-09-19 13:31:58","1280","800","5","158","10","1","US","38.0","-97.0"
"4","3","4","4","2","4","1","4","4","4","2","4","2","1","2","4","4","2","4","4","2","5","5","4","2","4","2","4","2","4","1","5","2","5","1","5","4","4","4","2","2","2","2","2","2","4","4","2","4","3","188952","1494","4483","2797","1515","2348","4080","2070","2864","1154","938","1540","1920","1515","5678","5701","1064","1815","877","1283","3780","1754","2048","2175","2858","1259","3885","2138","4396","145230","3074","832","3458","1987","1259","1793","2776","1320","2902","1942","1386","1470","1688","3352","1455","615","981","1109","3541","6637","2018-09-19 13:32:46","1537","865","77","449","9","1","NZ","-41.2942","174.7831"
"5","1","4","3","5","1","4","1","5","5","5","4","5","1","5","5","5","4","4","5","1","5","2","5","1","5","1","5","5","5","3","5","3","5","3","5","3","2","4","5","5","2","2","1","5","1","3","2","5","5","11748","1920","3160","2576","2137","1688","2680","1616","2817","2791","1936","5080","2262","1792","3720","895","2777","3680","2688","2632","6849","2568","2529","4392","4103","1433","1575","2216","1983","1672","3415","2401","3705","6184","2897","5360","3808","5143","2976","18977","1496","9535","4168","3640","1295","4393","2880","2600","2241","617","2018-09-19 13:33:14","1920","1080","2","179","13","3","US","34.1064","-117.3703"
"2","3","4","3","3","2","3","4","3","3","3","3","3","2","3","3","4","4","2","3","2","4","2","4","2","4","2","4","3","4","3","4","3","4","2","5","3","2","3","2","5","1","5","1","4","1","4","5","5","5","7909","3124","4209","2254","1860","3592","2256","3279","3596","6712","3315","4153","3645","2803","7069","5634","2109","1660","5479","4955","3450","2389","3931","2017","6432","1384","1957","2972","3056","1864","3589","2017","5620","2503","11059","2086","2722","3204","1767","3731","1524","4231","3629","4258","2916","2585","1584","1606","3010","1496","2018-09-19 13:33:21","1440","900","4","176","7","1","US","38.0","-97.0"
"4","3","5","2","5","2","4","4","2","3","3","4","3","2","1","2","3","2","2","2","2","4","1","5","1","5","2","4","5","4","3","3","3","3","3","2","3","2","4","3","1","4","2","2","3","3","5","2","4","3","6145","3029","3847","3730","3999","4677","5381","7941","5069","5781","4996","2497","3822","5028","3682","2688","2716","5638","2187","3378","12482","5213","3266","4516","4763","3578","10839","6486","8492","3586","4027","4723","6639","6366","3217","5181","2000","5847","5506","6524","3378","4199","4428","9664","3133","8990","3129","3593","5991","3874","2018-09-19 13:34:22","1366","768","14","252","13","1","CA","48.4633","-123.4538"
"5","2","4","3","5","1","3","3","4","1","2","4","2","1","1","1","2","1","1","1","4","3","3","2","0","1","2","3","2","2","5","3","5","3","4","1","2","2","2","5","4","2","4","1","5","1","4","4","2","5","392361","2008","2962","3088","2104","5185","5272","1023","6799","1382","3426","3821","2472","2367","5133","2067","2102","1582","1661","1523","1436","2446","3740","2191","0","528","2738","6993","3722","1799","2081","6335","3818","2928","5662","1942","2026","2173","3517","2592","3106","1231","1294","17443","2170","981","54739","1519","2406","1260","2018-09-19 13:34:54","1920","1080","2","595","8","3","US","34.8029","-86.9717"
"1","2","1","4","3","1","1","5","1","5","4","4","5","1","3","2","3","3","3","4","2","4","1","3","4","4","2","5","4","4","2","2","2","2","2","1","4","2","3","3","4","1","3","1","3","2","4","4","5","4","13784","8881","4662","2882","5036","5418","3084","5889","4389","2357","3035","11561","4255","1653","8020","7869","7268","18767","5384","1909","4939","1382","4807","10847","3716","1248","11015","4259","8491","6599","1897","4871","2843","7123","825","4283","1429","2001","3261","2495","2518","18582","4434","9273","8208","7067","3320","8133","1942","1633","2018-09-19 13:34:55","768","1024","3","281","11","1","NL","52.3667","4.9"
"2","3","3","3","3","1","2","5","3","4","3","4","2","3","4","3","2","2","4","2","2","3","2","4","2","2","2","3","2","2","2","5","4","4","1","4","3","1","2","3","4","2","2","1","3","3","4","2","4","3","5311","1313","5028","1781","3309","1328","3410","2571","2882","1700","2445","1360","3239","2246","4514","1809","2284","2368","3084","854","2274","2216","3758","2229","2898","2627","2827","1888","1513","4235","1719","3673","3971","822","2703","4420","2222","3674","1859","1740","1337","3222","5521","1966","2128","4281","1157","2968","3075","754","2018-09-19 13:35:13","1920","1080","4","133","8","1","US","35.3471","-120.4553"
"3","3","5","3","4","2","5","5","1","5","1","5","4","3","3","2","2","1","1","2","1","5","2","5","1","5","1","3","5","5","3","1","3","1","4","1","5","2","4","3","2","1","5","1","3","1","4","3","4","4","2891","4070","2993","1932","1798","4601","4594","3128","2783","2496","4624","1947","2912","4034","2615","3283","5101","2979","1941","2961","3577","3266","2786","6407","2216","1815","2247","4105","3068","3675","2248","8556","1602","2194","3942","3064","2689","4390","2017","3547","2593","8765","1747","3306","3001","2560","4082","2431","2177","1679","2018-09-19 13:35:29","1670","939","6","166","11","6","NZ","-36.8641","174.7621"
