"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"3","1","3","1","3","2","4","2","4","4","3","2","4","3","1","2","4","3","3","3","2","4","3","4","1","4","2","4","4","3","3","3","3","3","4","3","5","2","3","5","2","2","1","4","3","4","3","2","4","2","3901","3045","2634","2234","2551","2617","2287","2118","4447","5633","2777","4481","1799","2202","3845","2804","4798","1966","3363","2947","2279","3870","1982","1995","7207","2098","3905","4305","2870","2536","2507","4648","4046","2518","2683","5071","2394","2258","6126","2067","2120","3159","2181","4841","3546","1915","2326","2934","1999","1534","2016-07-14 23:18:20","768","1024","5","158","6","1","US","30.0972","-95.6161"
"3","4","4","3","4","2","2","2","2","3","3","3","4","2","3","3","4","4","3","2","4","4","1","4","2","4","2","3","4","4","5","2","4","1","3","1","4","3","4","4","3","3","4","3","4","4","5","2","4","4","5700","4599","4550","4321","3301","4801","8534","64469","5884","7298","10933","6267","4099","15267","15017","2033","4015","218209","2198","2052","5119","3567","2651","3078","2816","2483","7617","6467","2665","47484","28762","5783","30468","4334","17265","8068","3417","4298","7938","7017","3900","8167","7168","8768","3118","7549","13101","15500","5250","7199","2016-07-14 23:19:52","1366","768","11851","677","21","1","IN","28.6","77.2"
"5","5","4","4","5","3","4","5","5","1","3","1","5","1","4","5","5","5","5","5","5","5","1","5","1","5","1","5","5","5","1","2","5","1","2","2","4","3","2","1","2","4","5","5","5","1","5","2","5","5","6641","2341","2965","6845","1906","5072","8030","26062","1734","4093","2645","8362","1545","2581","3537","2361","3872","2583","1741","1504","3249","3737","4224","1868","2575","1692","3906","2486","1443","1106","2478","8761","2414","2234","6624","3501","3577","4591","1904","31582","2915","6358","1645","24359","1040","2206","2574","2793","9490","1093","2016-07-14 23:21:52","1440","900","37","268","13","1","AU","-27.0","133.0"
"2","5","1","5","1","5","1","2","2","5","4","2","4","1","1","4","3","4","4","5","3","1","5","2","5","3","5","1","1","3","2","4","3","2","2","2","3","2","3","3","3","2","5","2","3","1","4","3","5","4","8379","2953","3962","7873","3121","3429","3495","3448","1254","2653","5849","5385","3767","2905","7608","3003","4025","3148","3341","3351","8274","3500","2861","3252","3854","3997","3217","3233","2685","4548","3974","4766","4415","3400","3926","4715","3998","4253","3427","3176","1171","5480","2539","3848","2585","5562","3223","7158","3259","3341","2016-07-14 23:24:27","360","640","47","202","15","1","US","38.0","-97.0"
"2","4","3","4","2","3","2","5","2","4","3","4","3","3","3","1","2","2","3","2","2","4","2","3","2","3","2","4","4","4","4","4","5","4","1","4","3","4","2","3","4","3","2","4","4","4","4","3","3","3","4362","1599","3269","2917","1015","29690","2868","3908","2719","1685","2367","1684","10476","8530","5074","3536","2608","3617","1703","1617","2015","2252","1365","2110","3336","6222","3967","6940","2834","2867","2453","1833","2967","2018","5686","3117","3219","801","2817","1862","1703","2053","2406","851","3035","2469","2234","1745","3065","3440","2016-07-14 23:32:28","1440","900","32","180","10","1","US","34.1161","-118.1504"
"3","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","7706","0","0","0","0","0","0","0","0","0","2671","0","0","0","0","0","0","0","7724","0","3245","0","0","0","0","0","0","0","0","0","3853","0","0","0","0","0","0","0","0","0","3925","0","0","0","0","0","0","0","0","0","2016-07-14 23:32:49","1366","768","2","31","17","3","IN","20.0","77.0"
"2","5","2","5","2","4","2","5","1","5","3","3","4","0","5","3","4","3","4","4","2","2","4","2","5","2","4","2","2","3","3","2","5","3","2","3","3","0","3","3","3","3","4","0","3","2","4","3","3","4","20563","2672","11204","4561","6477","6082","3668","1935","2448","7589","7947","2912","1404","0","2475","5070","3168","5948","3451","1219","4652","5643","4323","2389","3912","1905","3345","5000","2191","1205","3949","3295","1295","3552","3052","4281","3270","0","2316","6301","989","900","3282","0","893","3343","2813","1535","1990","3536","2016-07-14 23:36:17","357","595","10","188","13","1","HR","45.1667","15.5"
"1","3","4","2","4","1","5","5","4","5","5","3","5","4","3","4","3","1","5","3","1","4","1","4","4","5","2","5","5","5","5","3","5","2","3","5","5","1","4","5","4","2","5","2","5","2","5","2","5","5","24323","4564","9229","13218","10244","3847","5499","2536","2160","1845","1882","3301","4601","4202","4988","2924","3022","26678","2681","3228","10984","64229","13601","6627","1809","10753","4869","2452","3192","5059","3120","3387","1992","28780","10317","3193","3517","3579","1918","4562","3228","8265","2609","2497","3204","3518","10074","4393","2501","1602","2016-07-14 23:37:50","1093","614","4","366","197","4","US","33.4484","-112.074"
"2","3","3","3","2","3","3","3","3","3","2","4","3","2","2","2","2","2","3","4","4","2","3","2","3","2","2","3","3","2","3","3","4","3","2","3","3","3","3","3","5","2","5","2","4","1","4","5","4","4","4666","7308","6432","3454","6468","2119","4667","6476","3280","2649","6048","8684","9058","1101","2684","4120","5384","5038","9731","3814","4576","3299","5527","4414","6150","2664","4347","3203","3361","2482","2285","1065","2069","3304","1016","2783","5740","966","794","4681","1261","1067","1218","3976","5467","4945","1823","4062","8455","3406","2016-07-14 23:37:55","320","568","17","205","14","1","US","38.0","-97.0"
"3","2","2","5","4","3","5","4","4","2","1","4","3","3","3","1","4","4","1","4","5","3","1","4","2","5","2","4","4","4","4","4","4","4","1","5","3","3","2","3","4","1","5","1","4","1","4","4","5","5","21173","9017","5074","2834","3733","5703","3665","8474","3280","3992","3554","9748","2107","4572","3266","4114","6267","2751","4031","3256","2684","5961","3044","5892","6777","3412","8208","4786","5688","7401","8111","18475","9968","4475","5198","3560","4342","4278","2783","6115","5397","7241","2818","6503","3027","5215","11524","3715","5891","2242","2016-07-14 23:40:02","768","1024","13","288","29","1","US","25.9017","-97.4975"
