"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"1","5","1","5","4","1","2","4","2","5","4","5","5","2","5","3","5","1","4","5","4","3","4","1","5","4","5","1","2","1","2","2","5","3","4","5","5","2","2","5","5","1","5","1","5","1","5","5","5","5","4122","2703","4000","2724","3509","4188","3836","3551","4966","2634","2995","3726","2040","867","806","3722","1963","1085","3403","3437","3666","5539","2999","2997","6979","967","4529","19125","6327","3729","2435","5755","1994","3075","9012","6594","2402","1805","4054","15554","6869","3888","2483","18306","2780","5350","3524","16276","3216","1433","2016-05-03 19:51:40","414","736","5","235","24","1","US","38.0","-97.0"
"2","4","2","4","1","2","1","5","2","5","5","2","4","2","2","5","4","4","4","4","1","4","3","5","3","3","3","3","5","2","2","4","5","4","1","2","4","4","4","3","4","4","5","2","3","1","4","4","4","4","4131","3599","3049","2066","1626","2766","2855","1502","5747","2058","3071","2646","1308","2597","2144","3809","1296","1644","1725","2009","5022","1919","4838","2001","6116","9320","3129","3712","2327","2933","2156","2551","4618","6877","3203","6564","4862","12315","1930","1822","1650","4083","1310","2483","2350","2249","2371","1958","1611","4061","2016-05-03 19:58:20","1366","768","47","165","9","1","US","39.7992","-88.2831"
"2","1","1","3","2","1","2","5","3","5","5","2","5","1","5","5","5","5","5","5","4","4","4","2","5","3","2","2","2","2","1","5","5","5","1","5","1","5","1","2","4","4","5","1","5","2","4","4","5","5","11797","4336","4030","7688","15407","28838","5673","4403","6199","3920","7588","13586","4690","3752","8545","3779","2158","2626","3226","5611","11172","10259","5758","5058","6498","2240","3656","17934","8064","7181","3590","6225","6387","4189","4635","4258","11943","4859","5438","5653","5317","8706","7732","6485","4094","4451","13506","3131","2697","2951","2016-05-03 19:59:58","360","640","13","344","11","1","US","41.85","-87.65"
"2","1","3","2","5","1","5","4","4","3","4","2","5","1","2","2","2","2","4","5","2","3","3","5","2","2","2","1","5","2","1","5","2","5","1","5","4","5","2","1","5","1","4","1","5","1","5","5","2","5","3631","1782","5764","16244","1380","1402","4276","40521","5258","2228","1411","4994","1294","2422","2582","3094","5310","1572","1340","1378","2933","2931","16057","3256","7296","2816","5700","2544","2511","1378","2137","1916","3388","1376","788","3230","3472","1560","1375","3534","1662","5332","1858","2380","3857","12617","2262","1404","3175","700","2016-05-03 20:00:40","1280","800","299","214","8","1","US","29.7176","-95.4188"
"4","1","4","4","4","1","2","5","2","5","5","1","5","1","2","5","5","5","4","5","1","5","2","5","3","4","5","4","5","5","4","4","5","1","5","4","5","1","5","5","5","1","4","1","5","1","4","5","5","4","15820","2796","2350","3132","3583","2600","5167","2683","4333","2850","2450","2635","2350","2948","6131","5733","2833","2330","2183","3133","3382","2384","3483","2734","4316","2865","3916","4252","2921","5470","3016","3500","6333","2668","2986","3684","5516","2518","4198","3097","2520","4432","3968","2984","17867","2467","5667","2350","2915","3667","2016-05-03 20:01:53","320","568","10","202","9","1","US","38.0","-97.0"
"1","5","2","5","1","2","1","5","4","2","4","2","5","1","5","2","4","5","3","4","1","5","1","4","1","4","2","4","4","4","4","1","5","2","2","5","5","2","5","4","4","1","5","1","5","1","5","4","4","5","1120","3168","2215","1208","1912","11391","3088","2169","2472","1320","1031","3240","1736","4152","3736","1896","2376","1481","1120","4024","2112","736","3104","2240","2464","1928","2383","8568","1304","2904","9401","3600","1568","3696","2320","2217","1112","7079","18665","2184","1672","2881","1976","2776","1504","3704","464","912","2927","12167","2016-05-03 20:02:34","1280","1024","9","167","8","1","US","36.8767","-89.5879"
"4","1","4","2","5","1","5","2","3","2","5","3","4","2","4","4","4","4","4","1","2","5","4","4","2","4","1","4","4","4","3","2","3","5","2","2","3","3","3","3","3","2","4","1","4","2","3","3","2","3","8447","4559","4785","2588","2472","2048","4952","952","2441","5149","3343","3383","5197","3579","2285","5206","3932","4275","1645","5021","3922","5785","7442","3373","3764","3491","3058","3932","1880","5412","5089","6432","3815","2216","6364","4590","2206","2058","4241","1892","2658","3853","2716","2853","2265","4991","4450","6688","5364","5912","2016-05-03 20:05:09","1366","768","7","200","16","1","NZ","-41.0","174.0"
"1","5","2","5","2","5","2","5","1","5","3","3","4","1","3","2","2","2","2","4","1","4","1","5","2","4","3","3","5","3","3","4","4","3","1","4","3","4","2","4","3","2","5","2","4","4","4","2","4","3","3894","2173","2071","4605","2052","2232","4465","1851","2896","2514","1489","1609","1930","2091","2816","2815","1870","2856","2111","3439","2935","3258","2353","1731","3922","2273","3460","2634","2072","3760","5108","4304","1830","2494","2957","2997","1790","1609","3922","2716","1850","5471","2273","3741","1910","2434","2494","2414","3500","2052","2016-05-03 20:06:18","1920","1080","26","140","12","1","US","29.751","-95.613"
"1","2","1","5","3","2","1","3","3","2","5","2","5","2","5","4","3","2","3","4","4","1","4","2","4","4","4","2","1","3","3","3","4","2","3","3","5","3","3","3","3","3","3","2","3","2","2","2","5","5","4385","3396","4653","2654","3655","3308","3710","5022","5534","5421","1674","2862","1774","1831","1947","3598","4843","2437","2891","1202","5026","16749","3687","5969","11555","5471","3171","4758","5207","9816","5155","4645","3975","3632","2409","5190","2702","5074","4106","6042","3059","2842","2984","3832","2723","4450","3877","6717","1924","1906","2016-05-03 20:06:18","1280","800","5","218","11","2","CA","43.6525","-79.3686"
"2","4","3","5","1","5","1","5","4","5","4","4","5","2","3","4","4","4","4","3","1","4","1","5","2","4","2","5","5","4","4","4","5","5","1","5","5","3","5","4","4","3","5","2","4","1","4","4","5","5","18087","5155","6387","2853","3424","2893","3800","2920","6034","2972","8738","5782","3335","3235","4010","3641","4059","2677","4359","3469","4745","3505","4347","2586","4027","3996","4439","2892","3377","5975","1721","3764","3395","3144","2754","3908","2650","5055","3825","4189","3512","6135","2223","6057","4117","2965","4711","6043","7003","5031","2016-05-03 20:07:03","360","640","14","221","13","1","CA","45.3155","-75.837"
"3","4","3","4","2","4","2","4","3","4","4","4","4","3","4","5","4","4","3","3","1","4","1","5","1","5","2","3","5","3","2","3","4","4","1","4","3","4","2","3","5","1","5","1","4","1","4","5","5","5","6593","1784","1700","3013","1948","1784","3305","3220","2178","988","1916","1374","1896","2420","1954","2195","2743","2232","2518","937","4745","3624","2233","1565","2327","1416","1638","2796","1456","2380","1579","2807","1808","2968","2012","6008","3191","2442","1873","4011","2062","2502","2036","2333","2090","1905","2671","1444","3369","2373","2016-05-03 20:07:57","601","962","9","124","11","1","US","26.7212","-80.0925"
"1","4","2","4","2","3","1","4","1","2","4","4","4","4","3","4","2","2","4","3","4","2","2","2","4","4","4","2","2","3","3","2","4","1","4","3","5","2","2","2","4","2","4","2","3","2","4","4","4","2","12269","9085","4343","11107","16270","7968","3507","5019","5748","6443","6400","5889","2076","6570","12233","3274","13580","7448","2094","2810","5997","2939","6024","8158","5832","9034","4237","3186","3495","7425","6985","14292","7379","3165","12251","12844","3698","4257","4872","4945","6660","9782","7209","5353","6094","3937","3335","5017","6133","4310","2016-05-03 20:08:51","768","1024","12","335","18","1","CA","43.6536","-79.4258"
