"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"3","1","3","3","4","1","3","3","4","3","5","2","5","2","4","4","5","4","5","4","1","4","4","4","2","4","2","3","4","3","4","1","5","2","3","2","4","2","5","3","4","2","5","1","4","1","4","4","5","3","2844","3551","3887","9871","4342","3943","8039","4961","5411","3629","3552","3127","5609","6218","36045","3477","5153","4085","5394","4605","22234","4811","6634","3278","4761","8987","3726","7295","7413","4320","8988","4093","9811","3620","4944","6695","4419","36827","12188","7076","13766","33463","6652","17518","3293","4801","8504","3752","6867","4218","2018-07-04 21:19:19","375","812","10","419","16","1","AU","-27.0","133.0"
"1","1","1","2","1","1","2","2","0","5","1","1","1","0","2","2","2","2","5","5","1","1","1","2","2","2","2","2","1","5","1","1","1","2","1","2","2","2","1","5","1","1","1","1","0","2","2","2","5","5","658768","470","813","419","732","932","2000","417","0","392","325","969","1984","0","1816","399","533","403","969","422","399","382","466","1765","868","766","423","485","1203","641","375","382","417","799","1152","384","450","412","549","1001","732","635","783","1000","0","446","815","2383","545","427","2018-07-04 21:21:47","1440","900","17","711","9","1","ID","-6.1744","106.8294"
"4","3","4","3","4","3","4","3","4","3","3","2","3","3","3","4","2","2","2","3","2","3","1","3","3","5","3","3","4","5","4","1","4","1","3","1","4","3","4","4","5","3","4","3","4","2","5","3","4","4","10441","7890","3640","3475","2437","3777","4465","2720","3581","2964","5024","5878","4567","2591","6187","16731","5129","7489","2159","3250","8723","7720","3109","6049","3786","2340","3934","4819","4479","2178","2559","6293","2701","2401","2601","3575","3150","3242","4799","2558","2427","7567","5927","4646","3082","4697","2982","4024","13223","2057","2018-07-04 21:22:50","768","1024","33","239","11","1","CA","43.6425","-79.3872"
"2","3","3","3","3","3","2","4","3","5","4","5","4","3","3","4","3","2","3","3","1","4","1","5","4","5","2","5","5","4","3","5","5","2","1","5","3","3","4","5","4","1","4","1","3","2","4","4","5","4","7656","5973","6186","9719","5533","3980","6451","6069","6604","3105","4752","8952","6989","8651","5085","4385","2816","4332","4335","3065","5175","4653","3730","5746","5967","3436","4920","3934","3081","5415","6931","4381","4121","5052","4033","6571","8946","34822","4303","4602","4325","6217","2827","4769","3364","4181","4633","4496","6363","2519","2018-07-04 21:24:21","375","667","5","291","10","1","US","40.6247","-111.7123"
"1","5","2","5","1","4","1","5","1","5","3","2","3","2","2","3","4","2","3","4","2","2","2","4","3","3","4","4","4","4","2","3","4","2","2","2","4","3","2","5","4","1","4","1","4","3","5","4","4","4","14210","5014","5728","12269","3202","3646","5568","7233","3439","3235","3816","6130","4550","8084","4767","57718","7650","4300","4555","7633","6025","2689","3022","2616","4936","12773","6435","2801","5148","14316","4753","4433","2868","2700","4048","4220","882","4502","2962","5165","5616","3569","2384","3165","5299","30050","12633","2629","4785","5799","2018-07-04 21:24:55","375","667","11","348","24","1","AU","-27.0","133.0"
"2","3","4","3","4","3","3","3","4","2","4","3","4","2","4","2","4","3","4","4","2","4","3","4","2","4","2","3","4","3","4","4","4","4","2","3","4","2","2","4","5","2","4","2","4","2","4","4","4","4","4496","4958","4719","1365","1528","3944","6452","4256","2187","3656","2066","6267","36601","1027","3009","2984","4454","3042","2340","2100","17888","2719","4362","2004","5001","3052","3989","3880","2926","2814","3637","4432","3394","2301","3423","7389","4947","4293","3516","2915","5199","2851","2009","2380","2370","2603","2956","3385","2502","1219","2018-07-04 21:24:58","1600","900","2","219","19","1","US","39.0437","-77.4875"
"1","2","2","4","4","2","1","4","2","4","4","2","5","3","4","4","4","4","4","2","4","3","1","3","4","4","4","2","3","4","5","1","5","1","3","1","5","2","4","3","3","4","4","4","3","1","4","2","5","4","16450","5133","5768","5316","3821","4694","4117","14530","5472","6723","6237","15801","3737","12925","9833","6835","3518","3250","3535","9954","5103","5844","4166","9151","10066","9839","4800","4604","7523","4447","7645","4636","15498","3899","7753","3747","4851","5666","3473","10563","13855","1583","5501","5589","19920","4900","7884","5746","6550","7915","2018-07-04 21:25:09","320","568","18","362","5","1","US","42.7698","-83.1583"
"1","2","3","4","3","2","2","4","4","5","5","1","5","1","4","5","4","4","4","5","2","4","3","5","2","4","2","4","5","2","4","2","4","4","3","2","4","3","4","4","4","2","5","1","4","1","4","4","4","4","6068","1952","3876","2687","4195","3434","1946","2881","3151","757","2065","1608","1998","3386","1812","1787","3362","1714","1558","1136","3607","2842","3553","3071","2443","2324","2978","2120","2017","5460","2674","3376","2804","2474","2979","3226","2757","3276","1592","5773","1337","2392","1381","3034","1361","1222","2945","1452","2247","2536","2018-07-04 21:25:26","360","640","8","134","9","1","CA","43.6092","-79.6201"
"4","2","5","3","5","2","4","1","5","1","2","1","5","2","4","4","4","3","3","3","5","4","3","2","4","2","2","2","4","4","3","4","5","4","1","3","1","2","1","4","5","1","3","1","5","2","5","5","4","5","6545","6690","2783","3502","1427","7683","1869","2117","1267","4676","5040","47190","1629","5735","6424","4903","3665","3128","2624","1535","6806","5074","9840","2342","4753","1859","3088","5554","5662","1925","4803","986","2206","3685","2935","1958","3059","3151","2811","2342","2109","5804","3039","17616","2289","3612","1336","1735","1090","1106","2018-07-04 21:27:07","1440","900","6","236","8","1","NONE","NONE","NONE"
"3","2","2","5","3","1","1","2","4","5","2","4","5","2","1","3","4","4","2","2","1","5","1","5","4","5","1","4","5","5","1","5","4","2","1","5","3","5","1","1","3","2","5","1","2","1","4","3","5","5","6199","3284","48775","37969","4060","3285","5109","4433","5177","1869","6622","3427","5797","4014","3549","5584","3591","2471","2216","6360","1960","9270","2218","1429","4532","8974","1901","5085","2102","1465","3864","2752","2727","3360","2788","3584","4981","3148","2096","3290","5480","5948","1503","3060","2217","10444","5866","2065","2839","1863","2018-07-04 21:27:44","1366","768","71","277","6","1","US","38.8339","-104.8214"
