"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"1","5","1","5","1","5","1","5","1","5","5","1","5","1","3","4","5","4","5","4","1","1","1","2","2","2","5","1","2","2","4","2","5","2","1","4","1","3","2","4","4","2","4","1","1","2","3","4","2","3","3998","1300","1252","1514","1069","2010","1292","2003","1776","1797","1854","2076","979","1789","3235","1997","2123","1053","4132","1200","4072","2759","1729","5823","7792","1768","2500","3151","1654","2821","4079","6176","4817","4238","1530","2249","1237","2848","1871","2417","1513","3734","1451","1851","2287","2358","2327","1739","2188","1572","2016-03-22 19:06:02","1280","800","35","127","6","1","CA","49.4833","-117.2833"
"2","4","4","4","2","5","1","5","1","5","2","4","3","4","4","2","3","2","2","1","2","3","1","4","1","5","2","5","4","4","4","2","4","2","4","3","5","2","4","5","4","3","4","3","4","2","4","5","4","5","9067","6057","3433","3905","2078","2126","2663","5029","5675","4119","18831","1863","4789","6095","14457","3272","3149","2300","4343","1630","3628","13996","4865","8372","5274","1842","4579","1604","4716","3075","16665","8732","2301","2314","2003","4130","2897","45343","2950","4406","2859","2326","1842","2464","1568","2028","3993","1694","8413","1445","2016-03-22 19:06:36","1366","768","13","279","13","115","US","43.0508","-88.0381"
"1","3","1","4","1","5","1","5","2","5","5","2","5","1","4","4","5","5","5","5","1","2","2","4","2","5","4","5","3","3","3","4","3","5","1","2","3","3","5","3","3","3","4","1","3","2","1","2","5","4","8428","1977","2078","1606","2296","2899","2945","6110","2839","1230","1908","2931","3379","2001","1701","2307","1679","1401","964","1423","1113","3915","2513","3043","2645","978","6557","2560","2575","11525","8390","5289","2306","3203","2550","9879","3334","3432","7247","4785","1909","7682","3309","22632","1329","4300","2490","2921","1983","1571","2016-03-22 19:06:58","1366","768","598","198","14","1","US","32.8195","-96.6338"
"1","2","3","4","4","4","2","2","2","4","3","3","5","3","3","3","3","3","4","2","1","4","2","4","2","4","3","4","3","3","3","2","4","4","3","2","5","3","4","3","3","4","3","2","2","3","2","2","4","2","3943","3359","2440","2492","3082","2333","2398","1779","2122","14060","4059","1267","1059","1653","3571","1706","1360","3376","2382","1898","3483","3119","5893","1983","1617","8926","2199","2615","3770","1971","2342","7224","2659","1532","1840","2557","3010","2561","2660","2952","2696","3754","2554","8853","2443","5079","1694","2215","3038","1172","2016-03-22 19:07:07","1440","900","2","163","6","1","US","42.2901","-83.2877"
"2","3","4","3","4","2","2","4","4","5","3","4","2","2","2","2","4","1","2","2","2","4","2","4","2","4","2","4","4","3","4","2","5","2","1","2","4","2","4","4","3","1","4","2","4","2","4","3","4","4","425748","1484","6096","3580","1812","1220","4216","7383","3617","3285","2617","2814","5789","2765","4466","7932","2584","1981","2562","3111","4485","3850","3336","3089","3020","2502","17284","4084","3894","6655","1681","5419","32477","1352","2249","3232","1699","3383","1107","863","2216","6118","962","2885","3664","1498","5516","2269","2469","2303","2016-03-22 19:07:25","1366","768","157","632","10","1","US","26.5745","-81.9438"
"1","5","1","5","3","4","1","5","2","5","3","1","3","3","1","1","3","2","2","3","2","3","2","5","3","2","5","4","0","3","4","1","5","3","2","1","5","1","5","5","5","3","5","1","5","1","4","5","5","5","7045","6961","9831","8700","6421","6944","11022","6725","16493","3634","7589","5307","3702","29244","5126","5197","24022","6037","3941","8276","10945","5239","9275","8422","5390","9310","6439","7005","0","3880","6400","10450","5069","5349","5124","6723","7388","10803","4589","7510","7402","10912","10116","6530","5580","4803","4713","4529","8003","3135","2016-03-22 19:11:50","320","570","34","385","9","1","US","47.2032","-122.2404"
"1","2","4","2","4","4","4","5","1","2","4","2","4","2","4","2","4","1","2","4","1","5","1","5","2","4","1","5","5","4","4","1","5","2","2","1","5","2","4","5","2","1","5","2","4","1","4","1","5","4","10832","14766","29968","20665","8453","3901","15359","1847","6389","4075","15572","16479","1870","21761","6768","12923","4247","15894","10610","14346","3266","5154","1883","5855","4155","8023","6364","2426","3064","21344","32211","7749","2323","2005","7755","3334","2302","18273","2353","1463","6001","15545","49998","38296","5130","5684","3496","12138","2585","6870","2016-03-22 19:12:36","1366","768","59","530","16","1","KE","1.0","38.0"
"2","5","2","4","2","5","1","3","4","4","2","5","4","2","4","1","2","3","4","2","4","1","4","1","5","2","1","2","1","2","2","4","4","3","2","4","4","4","1","4","4","2","3","2","3","4","4","4","4","3","2774","1371","1836","1464","2174","1243","2254","9470","2557","1407","1081","1545","1905","2847","1267","1430","3371","1500","1998","2150","3565","1592","1511","2929","3079","1290","1580","5037","2730","3033","2708","1755","1093","2092","2498","9343","4753","2637","2372","3510","1999","1732","1395","4451","1569","3254","2534","2667","2567","1499","2016-03-22 19:12:59","1366","768","96","130","5","1","US","39.1148","-77.2462"
"2","4","3","4","2","2","2","5","2","4","5","4","5","1","2","3","4","4","5","5","1","4","2","4","2","4","2","5","4","4","4","4","2","5","2","5","3","4","4","4","5","1","5","1","4","1","4","5","5","5","3078","883","2529","933","2331","4058","2187","3658","4176","1498","1492","487","2184","1805","2642","2152","2203","3468","1283","1274","1939","17311","1289","2166","984","1312","1322","1797","2175","1110","1644","3757","3239","684","2130","2720","2851","1448","2802","1774","1766","2438","1270","2310","1093","1386","1299","2068","1828","377","2016-03-22 19:13:32","1366","768","11","117","8","1","US","40.3726","-74.5101"
"1","4","2","4","2","4","2","4","2","5","4","3","5","4","2","4","3","4","3","3","3","3","2","3","2","4","4","3","2","2","2","3","4","3","3","3","3","3","4","3","4","2","5","4","4","0","4","3","5","5","1447","4030","3588","3840","2848","19903","6013","1923","6907","2170","3369","3177","2086","5718","1738","5438","3081","2342","2585","2617","3923","2808","6820","2565","3092","2533","2432","3602","3264","3272","1565","5353","5225","2416","8760","3520","2709","1794","3052","4175","1670","4191","2268","2604","3939","0","2277","2609","3880","1742","2016-03-22 19:14:11","1440","900","5","183","12","1","US","35.2054","-101.8345"
